Player,Year,School,arm_length_inches
Johnathon Johnson,2021,Missouri,
Terrace Marshall Jr.,2021,LSU,
Adam Krumholz,2021,Wisconsin,
Riley Lees,2021,Northwestern,
Branden Mack,2021,Temple,
Khalil McClain,2021,Troy,
Isaiah McKoy,2021,Kent St.,31.62
Racey McMath,2021,LSU,32.0
Dax Milne,2021,BYU,29.38
Elijah Moore,2021,Mississippi,30.12
Rondale Moore,2021,Purdue,28.25
Jonathan Nance,2021,Missouri,
Dazz Newsome,2021,North Carolina,29.88
Tre Nixon,2021,Central Florida,31.75
Antonio Nunn,2021,Buffalo,31.0
Whop Philyor,2021,Indiana,30.62
Cornell Powell,2021,Clemson,32.75
Blake Proehl,2021,East Carolina,31.5
Amari Rodgers,2021,Clemson,30.38
Anthony Schwartz,2021,Auburn,31.5
Ben Skowronek,2021,Notre Dame,
Brandon Smith,2021,Iowa,34.25
Ihmir Smith-Marsette,2021,Iowa,30.75
Marquez Stevenson,2021,Houston,31.5
Dillon Stoner,2021,Oklahoma St.,
Eli Stove,2021,Auburn,32.12
Sage Surratt,2021,Wake Forest,32.25
Tamorrion Terry,2021,Florida St.,33.38
Kadarius Toney,2021,Florida,31.25
Tyler Vaughns,2021,USC,32.88
Tre Walker,2021,San Jose St.,
Tylan Wallace,2021,Oklahoma St.,30.38
Connor Wedington,2021,Stanford,31.88
Marlon Williams,2021,Central Florida,31.0
Seth Williams,2021,Auburn,33.5
Calvin Austin,2022,Memphis,
David Bell,2022,Purdue,31.88
Slade Bolden,2022,Alabama,29.38
Treylon Burks,2022,Arkansas,33.5
Dai'Jean Dixon,2022,Nicholls St.,
Jahan Dotson,2022,Penn St.,30.75
Romeo Doubs,2022,Nevada,32.25
Dontario Drummond,2022,Mississippi,31.5
Erik Ezukanma,2022,Texas Tech,33.5
Ty Fryfogle,2022,Indiana,30.75
Danny Gray,2022,SMU,31.88
Johnny Johnson III,2022,Oregon,30.5
Josh Johnson,2022,Tulsa,
Velus Jones,2022,Tennessee,
Kevin Austin Jr.,2022,Notre Dame,32.88
Reggie Roberson Jr.,2022,SMU,32.62
Drake London,2022,USC,33.0
Bo Melton,2022,Rutgers,31.25
John Metchie,2022,Alabama,
Skyy Moore,2022,Western Michigan,31.0
Jalen Nailor,2022,Michigan St.,30.25
Chris Olave,2022,Ohio St.,31.12
Kyle Philips,2022,UCLA,29.62
George Pickens,2022,Georgia,32.38
Alec Pierce,2022,Cincinnati,33.0
Makai Polk,2022,Mississippi St.,32.25
Charleston Rambo,2022,Miami,32.0
Wan'Dale Robinson,2022,Kentucky,27.62
Justyn Ross,2022,Clemson,32.12
Braylon Sanders,2022,Mississippi,31.5
Khalil Shakir,2022,Boise St.,29.0
Tyquan Thornton,2022,Baylor,33.25
Jalen Tolbert,2022,South Alabama,32.25
Tré Turner,2022,Virginia Tech,30.75
Christian Watson,2022,North Dakota St.,32.5
Isaiah Weston,2022,Northern Iowa,32.5
Devon Williams,2022,Oregon,34.12
Jameson Williams,2022,Alabama,32.12
Garrett Wilson,2022,Ohio St.,32.0
Mike Woods,2022,Oklahoma,
Jordan Addison,2023,USC,30.88
Ronnie Bell,2023,Michigan,31.0
Jake Bobo,2023,UCLA,32.25
Kayshon Boutte,2023,LSU,31.38
Jalen Brooks,2023,South Carolina,34.12
Jason Brownlee,2023,Southern Mississippi,
Jacob Copeland,2023,Maryland,31.62
Derius Davis,2023,TCU,29.25
Nathaniel Dell,2023,Houston,30.5
Demario Douglas,2023,Liberty,30.25
Josh Downs,2023,North Carolina,30.38
Grant DuBose,2023,Charlotte,31.88
Zay Flowers,2023,Boston Col.,29.25
Bryce Ford-Wheaton,2023,West Virginia,33.5
Antoine Green,2023,North Carolina,32.12
Jadon Haselwood,2023,Arkansas,31.25
Malik Heath,2023,Mississippi,32.5
Elijah Higgins,2023,Stanford,31.75
Xavier Hutchinson,2023,Iowa St.,31.38
Jalin Hyatt,2023,Tennessee,32.5
Andrei Iosivas,2023,Princeton,32.0
Kearis Jackson,2023,Georgia,31.25
Rakim Jarrett,2023,Maryland,31.38
Michael Jefferson,2023,Louisiana,32.5
Jaray Jenkins,2023,LSU,31.75
CJ Johnson,2023,East Carolina,32.75
Quentin Johnston,2023,TCU,33.62
Charlie Jones,2023,Purdue,31.62
Dontay Demus Jr.,2023,Maryland,34.25
Malik Knowles,2023,Kansas St.,32.25
Matt Landers,2023,Arkansas,32.5
Marvin Mims,2023,Oklahoma,
Jonathan Mingo,2023,Mississippi,32.12
Jalen Moreno-Cropper,2023,Fresno St.,
Puka Nacua,2023,BYU,31.5
Joseph Ngata,2023,Clemson,33.12
Trey Palmer,2023,Nebraska,31.88
A.T. Perry,2023,Wake Forest,33.25
Jayden Reed,2023,Michigan St.,30.5
Rashee Rice,2023,SMU,32.75
Tyler Scott,2023,Cincinnati,30.88
Justin Shorter,2023,Florida,33.75
Jaxon Smith-Njigba,2023,Ohio St.,30.5
Cedric Tillman,2023,Tennessee,32.75
Mitchell Tinsley,2023,Penn St.,32.38
Tre Tucker,2023,Cincinnati,28.88
Parker Washington,2023,Penn St.,29.0
Jalen Wayne,2023,South Alabama,32.12
Dontayvion Wicks,2023,Virginia,32.38
Michael Wilson,2023,Stanford,31.0
Marvin Harrison Jr.,2024,Ohio State,
Rome Odunze,2024,Washington,32.25
