Player,Year,School,arm_length_inches
Josiah Trotter,2026,Missouri,
Jake Golday,2026,Cincinnati,
Taurean York,2026,Texas A&M,
Jacob Rodriguez,2026,Texas Tech,
Harold Perkins Jr,2026,LSU,
Jaishawn Barham,2026,Michigan,
Kyle Louis,2026,Pittsburgh,
Bryce Boettcher,2026,Oregon,
Lander Barton,2026,Utah,
Red Murdock,2026,Buffalo,
Trey Moore,2026,Texas,
Raylen Wilson,2026,Georgia,
Kalil Alexander,2026,Texas State,
