Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
304,128,Ray Davis,Kentucky,RB,RB19,6th-7th,5.10,-190,-222
195,UDFA,Easton Gibbs,Wyoming,LB,LB16,6th-7th,5.10,132,107
196,171,Jordan Travis,Florida State,QB,QB9,6th-7th,5.09,-42,-29
197,224,Daijahn Anthony,Mississippi,SAF,SAF17,6th-7th,5.09,136,55
198,233,Nathan Thomas,LA LAFAYET,LT,OT24,6th-7th,5.09,38,37
153,181,Kimani Vidal,Troy,RB,RB7,6th-7th,5.08,43,30
200,UDFA,Fabien Lovett,Florida State,IDL,IDL15,6th-7th,5.07,39,39
201,161,Dominique Hampton,Washington,SAF,SAF18,6th-7th,5.07,4,3
202,UDFA,John Rhys Plumlee,UCF,QB,QB10,6th-7th,5.06,215,107
203,204,Tylan Grable,UCF,LT,OT25,6th-7th,5.05,44,Not on PFF Board
204,239,Josiah Ezirim,Eastern Kentucky,OT,OT26,6th-7th,5.05,105,86
205,236,Myles Cole,Texas Tech,EDGE,EDGE23,6th-7th,5.05,-24,-20
206,229,M.J. Devonshire,Pittsburgh,CB,CB29,6th-7th,5.03,6,42
207,UDFA,Dallin Holker,COLO STATE,TE,TE11,6th-7th,5.03,-36,-50
208,UDFA,Gabe Hall,Baylor,IDL,IDL16,6th-7th,5.03,-38,2
209,UDFA,Keaton Bills,Utah,OG,OG10,6th-7th,5.00,122,Not on PFF Board
210,UDFA,Omar Brown,Nebraska,SAF,SAF19,6th-7th,4.96,160,59
211,157,Chau Smith-Wade,Washington State,CB,CB30,6th-7th,4.95,-54,-68
212,97,McKinnley Jackson,Texas A&M,IDL,IDL17,6th-7th,4.95,-80,-7
213,UDFA,Braiden McGregor,Michigan,EDGE,EDGE24,6th-7th,4.94,-19,-44
214,206,Nathaniel Watson,Mississippi St.,LB,LB17,6th-7th,4.93,-10,30
215,UDFA,Josh Wallace,Michigan,CB,CB31,6th-7th,4.90,74,58
216,UDFA,Willie Drew,Virginia State,CB,CB32,6th-7th,4.90,16,Not on PFF Board
217,UDFA,Jalen Coker,Holy Cross,WR,WR31,6th-7th,4.90,28,-57
218,UDFA,Lideatrick Griffin,Mississippi St.,WR,WR32,7th,4.90,53,37
219,UDFA,Sam Hartman,Notre Dame,QB,QB11,7th,4.88,8,35
220,159,Hunter Nourzad,Penn State,C,C8,7th,4.88,-46,-109
221,137,Tarheeb Still,Maryland,CB,CB33,7th,4.82,43,25
222,180,Marcellas Dial,South Carolina,CB,CB34,7th,4.82,59,54
223,132,Sione Vaki,Utah,SAF,SAF20,7th,4.82,-81,-99
224,178,Logan Lee,Iowa,IDL,IDL18,7th,4.81,6,-29
225,UDFA,Joshua Cephus,UTSA,WR,WR33,7th,4.81,57,6
226,227,Myles Harden,South Dakota,CB,CB35,7th,4.79,35,-75
227,95,DeWayne Carter,Duke,IDL,IDL19,7th,4.79,-108,-91
228,251,Tatum Bethune,Florida State,LB,LB18,7th,4.78,35,Not on PFF Board
229,UDFA,Jalen Sundell,N DAK ST,LT,OT27,7th,4.78,68,7
230,UDFA,Garret Greenfield,S DAK ST,LT,OT28,7th,4.77,16,Not on PFF Board
231,170,Bub Means,Pittsburgh,WR,WR34,7th,4.76,-8,7
232,UDFA,Drake Nugent,Michigan,C,C9,7th,4.75,20,59
233,UDFA,Brady Latham,Arkansas,OG,OG11,7th,4.75,124,Not on PFF Board
234,UDFA,Keith Randolph Jr.,Illinois,IDL,IDL20,7th,4.74,-31,-28
235,UDFA,Ja'Quan Sheppard,Maryland,CB,CB36,7th,4.74,108,Not on PFF Board
236,UDFA,Steele Chambers,Ohio State,LB,LB19,7th,4.73,13,-58
237,240,Michael Barrett,Michigan,LB,LB20,7th,4.71,0,-39
238,164,Jacob Monk,Duke,OG,OG12,7th,4.71,30,Not on PFF Board
239,219,Daequan Hardy,Penn State,CB,CB37,7th,4.70,21,12
240,105,Justin Eboigbe,Alabama,EDGE,EDGE25,7th,4.68,-90,-43
241,116,Jordan Jefferson,LSU,IDL,IDL21,7th,4.67,-52,-27
242,153,Deantre Prince,Mississippi,CB,CB38,7th,4.66,-18,57
243,UDFA,Matthew Jones,Ohio State,OG,OG13,7th,4.64,62,Not on PFF Board
244,115,Erick All,Iowa,TE,TE12,7th,4.64,-65,-152
245,213,Jordan Whittington,Texas,WR,WR35,7th,4.62,6,-83
246,UDFA,Frank Crum,WYOMING,LT,OT29,7th,4.62,-2,10
247,UDFA,Michael Dowell,Miami (OH),SAF,SAF21,7th,4.62,Not in Consensus,Not on PFF Board
248,UDFA,Grayson Murphy,UCLA,EDGE,EDGE26,7th,4.61,-38,-61
249,UDFA,Emany Johnson,Nevada,SAF,SAF22,7th,4.61,Not in Consensus,Not on PFF Board
250,UDFA,Myles Sims,Georgia Tech,CB,CB39,7th-PFA,4.59,Not in Consensus,Not on PFF Board
251,UDFA,Isaiah Johnson,Syracuse,CB,CB40,7th-PFA,4.58,Not in Consensus,52
252,182,Jha'Quan Jackson,Tulane,WR,WR36,7th-PFA,4.57,-45,-100
253,UDFA,Jarius Monroe,Tulane,CB,CB41,7th-PFA,4.56,20,44
254,UDFA,Jack Westover,WASHINGTON,TE,TE13,7th-PFA,4.56,22,23
255,UDFA,Marcus Rosemy-Jacksaint,Georgia,WR,WR37,7th-PFA,4.55,-42,-94
256,UDFA,McCallan Castles,TENNESSEE,TE,TE14,7th-PFA,4.55,58,Not on PFF Board
257,UDFA,Anim Dankwah,Howard,OT,OT30,7th-PFA,4.55,65,22
258,UDFA,Mason Tipton,Yale,WR,WR38,7th-PFA,4.55,Not in Consensus,Not on PFF Board
259,238,Solomon Byrd,USC,EDGE,EDGE27,7th-PFA,4.53,34,-18
