Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
851,UDFA,Karl Reynolds,Houston Christian,WR,WR169,UDFA,1.80,Not in Consensus,Not on PFF Board
852,UDFA,Devin Richardson,Washington State,LB,LB112,UDFA,1.80,Not in Consensus,Not on PFF Board
853,UDFA,Daquan Evans,USF,CB,CB96,UDFA,1.79,Not in Consensus,Not on PFF Board
854,UDFA,Braden Brose,Delaware,TE,TE63,UDFA,1.79,Not in Consensus,Not on PFF Board
855,UDFA,Oshai Fletcher,Troy,CB,CB97,UDFA,1.79,Not in Consensus,Not on PFF Board
856,UDFA,Keionte Scott,Auburn,CB,CB98,UDFA,1.79,Not in Consensus,Not on PFF Board
857,UDFA,Barrett Miller,CAL,LT,OT75,UDFA,1.78,Not in Consensus,Not on PFF Board
858,UDFA,Tony Bradford Jr.,Texas Tech,IDL,IDL65,UDFA,1.78,-377,Not on PFF Board
859,UDFA,Rich Miller,Kansas,LB,LB113,UDFA,1.78,Not in Consensus,Not on PFF Board
860,UDFA,Michael Furtney,Wisconsin,OG,OG31,UDFA,1.78,-311,Not on PFF Board
861,UDFA,Joe Wilkins Jr.,Miami (Ohio),WR,WR170,UDFA,1.78,Not in Consensus,Not on PFF Board
862,UDFA,Jeremiah Hixon,New Mexico,WR,WR171,UDFA,1.78,Not in Consensus,Not on PFF Board
863,UDFA,Ralen Goforth,Washington,LB,LB114,UDFA,1.77,-386,Not on PFF Board
864,UDFA,Braden Wingle,Fort Lewis,QB,QB59,UDFA,1.8,Not in Consensus,Not on PFF Board
865,UDFA,BK Smith,Valdosta State,WR,WR172,UDFA,1.77,Not in Consensus,Not on PFF Board
866,UDFA,Carson Kropp,North Texas,LB,LB115,UDFA,1.77,Not in Consensus,Not on PFF Board
867,UDFA,Quentin Bivens,Southern Miss,IDL,IDL66,UDFA,1.77,Not in Consensus,Not on PFF Board
868,UDFA,Trimarcus Cheeks,Houston,LB,LB116,UDFA,1.77,Not in Consensus,Not on PFF Board
869,UDFA,Will Harbour,Navy,LB,LB117,UDFA,1.76,Not in Consensus,Not on PFF Board
870,UDFA,Dee Wiggins,Cincinnati,WR,WR173,UDFA,1.76,-301,Not on PFF Board
871,UDFA,Armani Chatman,North Carolina,CB,CB99,UDFA,1.76,-342,Not on PFF Board
872,UDFA,Messiah Swinson,ARIZONA ST,TE,TE64,UDFA,1.75,Not in Consensus,Not on PFF Board
873,UDFA,Austin Osborne,Bowling Green,WR,WR174,UDFA,1.75,Not in Consensus,Not on PFF Board
874,UDFA,Andre Carter,Indiana,EDGE,EDGE62,UDFA,1.75,-506,Not on PFF Board
875,UDFA,Aaron Brule,Michigan St.,LB,LB118,UDFA,1.75,-314,Not on PFF Board
876,UDFA,Thomaz Whitford,NEW MEX ST,TE,TE65,UDFA,1.74,Not in Consensus,Not on PFF Board
877,UDFA,Jason Vaughn,USF,EDGE,EDGE63,UDFA,1.74,Not in Consensus,Not on PFF Board
878,UDFA,John Jackson III,Nevada,WR,WR175,UDFA,1.74,Not in Consensus,Not on PFF Board
879,UDFA,Brey Walker,Texas State,OG,OG32,UDFA,1.74,Not in Consensus,Not on PFF Board
880,UDFA,Realus George Jr.,Missouri,IDL,IDL67,UDFA,1.74,Not in Consensus,Not on PFF Board
881,UDFA,Joe Evans,Iowa,EDGE,EDGE64,UDFA,1.73,Not in Consensus,Not on PFF Board
882,UDFA,Eddie Heckard,BYU,CB,CB100,UDFA,1.73,Not in Consensus,Not on PFF Board
883,UDFA,Marcellus Anderson,UMass,OG,OG33,UDFA,1.73,Not in Consensus,Not on PFF Board
884,UDFA,Dylan Brown,Florida State,IDL,IDL68,UDFA,1.72,Not in Consensus,Not on PFF Board
885,UDFA,RJ Mobley,Winston Salem,WR,WR176,UDFA,1.72,Not in Consensus,Not on PFF Board
886,UDFA,Trezmen Marshall,Alabama,LB,LB119,UDFA,1.72,-417,Not on PFF Board
887,UDFA,Dominick Blaylock,Georgia Tech,WR,WR177,UDFA,1.72,Not in Consensus,Not on PFF Board
888,UDFA,Ahmad McCullough,Washington State,LB,LB120,UDFA,1.71,Not in Consensus,Not on PFF Board
889,UDFA,Peewee Jarrett,West Florida,QB,QB60,UDFA,1.7,Not in Consensus,Not on PFF Board
890,UDFA,Joshua Youngblood,Delaware,WR,WR178,UDFA,1.71,Not in Consensus,Not on PFF Board
891,UDFA,Jasper Williams,Louisiana,LB,LB121,UDFA,1.71,Not in Consensus,Not on PFF Board
892,UDFA,Gino Campiotti,UMass,TE,TE66,UDFA,1.70,Not in Consensus,Not on PFF Board
893,UDFA,Ty King,Samford,WR,WR179,UDFA,1.70,Not in Consensus,Not on PFF Board
894,UDFA,Turon Ivy Jr.,IDAHO,TE,TE67,UDFA,1.70,Not in Consensus,Not on PFF Board
895,UDFA,Cam Allen,Purdue,CB,CB101,UDFA,1.70,-410,Not on PFF Board
896,UDFA,Tyrique Matthews,Texas Tech,LB,LB122,UDFA,1.69,Not in Consensus,Not on PFF Board
897,UDFA,Rayshad Williams,Texas Tech,CB,CB102,UDFA,1.69,-319,Not on PFF Board
898,UDFA,Ray Williams,Howard,CB,CB103,UDFA,1.69,Not in Consensus,Not on PFF Board
899,UDFA,Ireland Brown,Rutgers,C,C28,UDFA,1.69,Not in Consensus,Not on PFF Board
900,UDFA,Noel Ofori-Nyadu,UConn,OG,OG34,UDFA,1.69,Not in Consensus,Not on PFF Board
901,UDFA,Jalyn Phillips,Clemson,SAF,SAF60,UDFA,1.68,Not in Consensus,Not on PFF Board
902,UDFA,Samy Johnson,Arkansas State,CB,CB104,UDFA,1.68,Not in Consensus,Not on PFF Board
903,UDFA,Dimitri Stanley,Iowa State,WR,WR180,UDFA,1.68,Not in Consensus,Not on PFF Board
904,UDFA,Reuben Unije,HOUSTON,RT,OT76,UDFA,1.68,Not in Consensus,Not on PFF Board
905,UDFA,Xavier Delgado,Missouri,OG,OG35,UDFA,1.67,Not in Consensus,Not on PFF Board
906,UDFA,DJ Stevens,JACKSON ST,TE,TE68,UDFA,1.67,Not in Consensus,Not on PFF Board
907,UDFA,Rashad Jordan,Albany State,WR,WR181,UDFA,1.67,Not in Consensus,Not on PFF Board
908,UDFA,Monroe Young,California,WR,WR182,UDFA,1.67,Not in Consensus,Not on PFF Board
909,UDFA,Clark Barrington,Baylor,C,C29,UDFA,1.66,-472,Not on PFF Board
910,UDFA,Jordan Domineck,Colorado,EDGE,EDGE65,UDFA,1.66,-383,Not on PFF Board
911,UDFA,Shayne Simon,Pitt,LB,LB123,UDFA,1.66,Not in Consensus,Not on PFF Board
912,UDFA,Josh DeBerry,Texas A&M,CB,CB105,UDFA,1.66,-417,Not on PFF Board
913,UDFA,Demarcus Governor,Northern Iowa,CB,CB106,UDFA,1.66,Not in Consensus,Not on PFF Board
914,UDFA,Josiah Norwood,UCLA,WR,WR183,UDFA,1.65,Not in Consensus,Not on PFF Board
915,UDFA,Shaun Peterson Jr.,UCF,EDGE,EDGE66,UDFA,1.65,Not in Consensus,Not on PFF Board
916,UDFA,Jordan Anderson,UCLA,SAF,SAF61,UDFA,1.65,Not in Consensus,Not on PFF Board
917,UDFA,Josh Lezin,Maine,IDL,IDL69,UDFA,1.65,Not in Consensus,Not on PFF Board
918,UDFA,Jesiah Irish,Oregon State,WR,WR184,UDFA,1.64,Not in Consensus,Not on PFF Board
919,UDFA,Daniel George,Akron,WR,WR185,UDFA,1.64,Not in Consensus,Not on PFF Board
920,UDFA,Isaac Ukwu,Ole Miss,EDGE,EDGE67,UDFA,1.63,Not in Consensus,Not on PFF Board
921,UDFA,Chris Megginson,SMU,CB,CB107,UDFA,1.63,Not in Consensus,Not on PFF Board
922,UDFA,Johnny Langan,RUTGERS,TE,TE69,UDFA,1.62,Not in Consensus,Not on PFF Board
923,UDFA,Juwan Mitchell,Colorado,LB,LB124,UDFA,1.62,Not in Consensus,Not on PFF Board
924,UDFA,Savion Jackson,NC State,EDGE,EDGE68,UDFA,1.61,Not in Consensus,Not on PFF Board
925,UDFA,Chris Autman-Bell,Minnesota,WR,WR186,UDFA,1.61,-321,Not on PFF Board
926,UDFA,Harry Van Dyne,Indiana State,WR,WR187,UDFA,1.61,Not in Consensus,Not on PFF Board
927,UDFA,Matt Alaimo,Coastal Carolina,TE,TE70,UDFA,1.61,Not in Consensus,Not on PFF Board
928,UDFA,Tyrese Chambers,Maryland,WR,WR188,UDFA,1.61,-392,Not on PFF Board
929,UDFA,Emmit Bohle,ARIZONA ST,RT,OT77,UDFA,1.61,Not in Consensus,Not on PFF Board
930,UDFA,Noah Plack,UConn,LB,LB125,UDFA,1.61,Not in Consensus,Not on PFF Board
931,UDFA,John Morgan III,Arkansas,EDGE,EDGE69,UDFA,1.60,-373,Not on PFF Board
932,UDFA,Shyheim Battle,NC State,CB,CB108,UDFA,1.60,-541,Not on PFF Board
933,UDFA,Michael Fairbanks II,UAB,EDGE,EDGE70,UDFA,1.60,Not in Consensus,Not on PFF Board
934,UDFA,Casey Bauman,Augustana (S.D.),QB,QB61,UDFA,1.6,Not in Consensus,Not on PFF Board
935,UDFA,Salvatore Lupoli,Bentley,WR,WR189,UDFA,1.59,Not in Consensus,Not on PFF Board
936,UDFA,Khadry Jackson,Georgia Southern,LB,LB126,UDFA,1.59,Not in Consensus,Not on PFF Board
937,UDFA,Aljareek Malry,Ball State,SAF,SAF62,UDFA,1.58,Not in Consensus,Not on PFF Board
938,UDFA,Devon Jones,Augustana (S.D.),WR,WR190,UDFA,1.58,Not in Consensus,Not on PFF Board
939,UDFA,Khaleb Hood,Georgia Southern,WR,WR191,UDFA,1.58,Not in Consensus,Not on PFF Board
940,UDFA,Cole Spencer,Texas Tech,OG,OG36,UDFA,1.58,Not in Consensus,Not on PFF Board
941,UDFA,Terrance McClain,MEMPHIS,RT,OT78,UDFA,1.57,Not in Consensus,Not on PFF Board
942,UDFA,Zareon Hayes,Alabama A&M,EDGE,EDGE71,UDFA,1.57,Not in Consensus,Not on PFF Board
943,UDFA,Jarett Garner,East Carolina,WR,WR192,UDFA,1.57,Not in Consensus,Not on PFF Board
944,UDFA,Judson Tallandier II,Akron,CB,CB109,UDFA,1.57,-403,Not on PFF Board
945,UDFA,Dre Jones,Florida A&M,EDGE,EDGE72,UDFA,1.56,Not in Consensus,Not on PFF Board
946,UDFA,Christopher Bleich,Syracuse,OG,OG37,UDFA,1.56,-398,Not on PFF Board
947,UDFA,Kym'Mani King,Florida A&M,CB,CB110,UDFA,1.56,Not in Consensus,Not on PFF Board
948,UDFA,Max Banes,Houston,OG,OG38,UDFA,1.55,Not in Consensus,Not on PFF Board
949,UDFA,Erik Brooks,Fresno State,WR,WR193,UDFA,1.55,-543,Not on PFF Board
950,UDFA,Jalen Burbage,Eastern Kentucky,WR,WR194,UDFA,1.55,Not in Consensus,Not on PFF Board
951,UDFA,Tre Mosley,Michigan St.,WR,WR195,UDFA,1.54,Not in Consensus,Not on PFF Board
952,UDFA,Zack Dobson,M. Tennessee St.,WR,WR196,UDFA,1.54,Not in Consensus,Not on PFF Board
953,UDFA,Isaiah Avery,Portland State,CB,CB111,UDFA,1.54,Not in Consensus,Not on PFF Board
954,UDFA,Randall Harris,New Hampshire,CB,CB112,UDFA,1.54,Not in Consensus,Not on PFF Board
955,UDFA,Brian Miller,GA SOUTHRN,LT,OT79,UDFA,1.54,Not in Consensus,Not on PFF Board
956,UDFA,Nolan Quinlan,LA MONROE,TE,TE71,UDFA,1.53,Not in Consensus,Not on PFF Board
957,UDFA,Steven Stilianos,IOWA,TE,TE72,UDFA,1.53,Not in Consensus,Not on PFF Board
958,UDFA,Nolan Grooms,Yale,QB,QB62,UDFA,1.5,Not in Consensus,Not on PFF Board
959,UDFA,Paul Maile,BYU,OG,OG39,UDFA,1.53,Not in Consensus,Not on PFF Board
960,UDFA,Charles Coleman III,South Alabama,IDL,IDL70,UDFA,1.52,Not in Consensus,Not on PFF Board
961,UDFA,Reggie Smith,South Alabama,C,C30,UDFA,1.52,Not in Consensus,Not on PFF Board
962,UDFA,Nick Mardner,Auburn,WR,WR197,UDFA,1.52,-378,Not on PFF Board
963,UDFA,Donald Berniard Jr.,Navy,IDL,IDL71,UDFA,1.51,Not in Consensus,Not on PFF Board
964,UDFA,Eddie Ogle,Liberty,WR,WR198,UDFA,1.51,Not in Consensus,Not on PFF Board
965,UDFA,Omari Hill-Robinson,Bethune-Cookman,CB,CB113,UDFA,1.50,Not in Consensus,Not on PFF Board
966,UDFA,Briason Mays,SO MISS,RT,OT80,UDFA,1.50,Not in Consensus,Not on PFF Board
967,UDFA,Khris Banks,Boston College,IDL,IDL72,UDFA,1.50,Not in Consensus,Not on PFF Board
849,UDFA,Dontae Smith,Georgia Tech,RB,RB42,UDFA,1.49,-299,Not on PFF Board
969,UDFA,Jakarius Caston,Southern Miss,WR,WR199,UDFA,1.49,Not in Consensus,Not on PFF Board
970,UDFA,Taijh Alston,Colorado,EDGE,EDGE73,UDFA,1.49,Not in Consensus,Not on PFF Board
971,UDFA,Nolan Johnson,Old Dominion,CB,CB114,UDFA,1.49,Not in Consensus,Not on PFF Board
972,UDFA,Justin Dedich,USC,C,C31,UDFA,1.49,-450,Not on PFF Board
973,UDFA,Cameron Jones,Army,CB,CB115,UDFA,1.48,Not in Consensus,Not on PFF Board
974,UDFA,Rayjuon Pringle,Villanova,WR,WR200,UDFA,1.48,Not in Consensus,Not on PFF Board
975,UDFA,Trevon Alexander,NW Missouri St.,WR,WR201,UDFA,1.47,Not in Consensus,Not on PFF Board
976,UDFA,Layne Hatcher,Ball State,QB,QB63,UDFA,1.5,-444,Not on PFF Board
977,UDFA,Dennis Wilburn,Texas Tech,OG,OG40,UDFA,1.47,Not in Consensus,Not on PFF Board
978,UDFA,Calvin Hart Jr.,Oregon State,LB,LB127,UDFA,1.46,Not in Consensus,Not on PFF Board
979,UDFA,DeAndre Faulk,Hampton,LB,LB128,UDFA,1.44,Not in Consensus,Not on PFF Board
980,UDFA,D.J. Miller Jr.,Kent State,CB,CB116,UDFA,1.44,Not in Consensus,Not on PFF Board
968,UDFA,Larry McCammon III,Florida Atlantic,RB,RB43,UDFA,1.44,Not in Consensus,Not on PFF Board
982,UDFA,Shane Hooks,Auburn,WR,WR202,UDFA,1.44,Not in Consensus,Not on PFF Board
983,UDFA,Clevan Thomas Jr.,Montana State,WR,WR203,UDFA,1.44,Not in Consensus,Not on PFF Board
984,UDFA,TJ Banks,Akron,TE,TE73,UDFA,1.44,Not in Consensus,Not on PFF Board
985,UDFA,Christian Duffie,KANSAS ST,RT,OT81,UDFA,1.44,Not in Consensus,Not on PFF Board
986,UDFA,Treylen Brown,Jacksonville State,C,C32,UDFA,1.43,Not in Consensus,Not on PFF Board
981,UDFA,Deshaun Fenwick,Oregon State,RB,RB44,UDFA,1.43,-563,-723
988,UDFA,Kamden Garrett,BYU,CB,CB117,UDFA,1.43,Not in Consensus,Not on PFF Board
989,UDFA,Jaden Dedman,Nevada,CB,CB118,UDFA,1.43,Not in Consensus,Not on PFF Board
990,UDFA,Bradley Rozner,NC State,WR,WR204,UDFA,1.43,Not in Consensus,Not on PFF Board
991,UDFA,Cam Lampkin,Washington State,CB,CB119,UDFA,1.42,Not in Consensus,Not on PFF Board
992,UDFA,Chris Bellamy,New Mexico St.,WR,WR205,UDFA,1.42,Not in Consensus,Not on PFF Board
987,UDFA,Mario Anderson,South Carolina,RB,RB45,UDFA,1.42,Not in Consensus,Not on PFF Board
994,UDFA,Chuck Hicks,Missouri,LB,LB129,UDFA,1.41,Not in Consensus,Not on PFF Board
995,UDFA,Alex Hogan,Houston,CB,CB120,UDFA,1.41,Not in Consensus,Not on PFF Board
996,UDFA,Blake Stenstrom,Princeton,QB,QB64,UDFA,1.4,Not in Consensus,Not on PFF Board
997,UDFA,Jermaine Jackson,Idaho,WR,WR206,UDFA,1.41,Not in Consensus,Not on PFF Board
998,UDFA,Jason Maitre,Wisconsin,CB,CB121,UDFA,1.41,-459,Not on PFF Board
999,UDFA,Rod Gattison,Western Carolina,CB,CB122,UDFA,1.41,Not in Consensus,Not on PFF Board
1000,UDFA,Marcus Washington,Nebraska,WR,WR207,UDFA,1.40,-530,Not on PFF Board
1001,UDFA,Jack Freeman,Houston,C,C33,UDFA,1.40,Not in Consensus,Not on PFF Board
1002,UDFA,Ryan Selig,Minnesota,LB,LB130,UDFA,1.40,Not in Consensus,Not on PFF Board
1003,UDFA,Ryan Rivera,Louisiana Tech,TE,TE74,UDFA,1.40,Not in Consensus,Not on PFF Board
1004,UDFA,Alan Tisdale,Virginia Tech,LB,LB131,UDFA,1.39,Not in Consensus,Not on PFF Board
1005,UDFA,John McCartan,Oregon State,EDGE,EDGE74,UDFA,1.39,Not in Consensus,Not on PFF Board
1006,UDFA,Jerome Buckner,Illinois State,WR,WR208,UDFA,1.39,Not in Consensus,Not on PFF Board
1007,UDFA,Daniel Grzesiak,Cincinnati,EDGE,EDGE75,UDFA,1.39,Not in Consensus,Not on PFF Board
1008,UDFA,Jaivian Lofton,Utah Tech,WR,WR209,UDFA,1.38,Not in Consensus,Not on PFF Board
1009,UDFA,Shawn Bowman,RUTGERS,TE,TE75,UDFA,1.37,Not in Consensus,Not on PFF Board
1010,UDFA,Paul Akere,Virginia,EDGE,EDGE76,UDFA,1.37,-422,Not on PFF Board
1011,UDFA,Freddie Roberson,Mississippi State,WR,WR210,UDFA,1.36,-476,Not on PFF Board
1012,UDFA,Javon Antonio,Colorado,WR,WR211,UDFA,1.36,Not in Consensus,Not on PFF Board
1013,UDFA,Colby Suits,Houston Christian,QB,QB65,UDFA,1.4,Not in Consensus,Not on PFF Board
1014,UDFA,JaJuan Forte',UCF,WR,WR212,UDFA,1.35,Not in Consensus,Not on PFF Board
1015,UDFA,Thurman Geathers,Arkansas State,EDGE,EDGE77,UDFA,1.35,Not in Consensus,Not on PFF Board
1016,UDFA,Boobie Curry,Buffalo,WR,WR213,UDFA,1.34,Not in Consensus,Not on PFF Board
1017,UDFA,Tyrone Taleni,USC,IDL,IDL73,UDFA,1.33,Not in Consensus,Not on PFF Board
1018,UDFA,Max Tooley,BYU,LB,LB132,UDFA,1.33,Not in Consensus,Not on PFF Board
1019,UDFA,Jaylen Evans,South Carolina State,SAF,SAF63,UDFA,1.33,Not in Consensus,Not on PFF Board
1020,UDFA,Anthony Goodlow,Oklahoma State,EDGE,EDGE78,UDFA,1.33,-588,Not on PFF Board
1021,UDFA,Trumane Bell II,UTSA,EDGE,EDGE79,UDFA,1.33,Not in Consensus,Not on PFF Board
1022,UDFA,Hayden Hatcher,Kansas,EDGE,EDGE80,UDFA,1.32,Not in Consensus,Not on PFF Board
1023,UDFA,Joshua Quiett,Grambling,TE,TE76,UDFA,1.31,Not in Consensus,Not on PFF Board
1024,UDFA,Elijah McAllister,Auburn,EDGE,EDGE81,UDFA,1.31,Not in Consensus,Not on PFF Board
1025,UDFA,Jonathan Williams,ALAB A&M,RT,OT82,UDFA,1.30,Not in Consensus,Not on PFF Board
1026,UDFA,Matthew Cindric,Cal,C,C34,UDFA,1.30,Not in Consensus,Not on PFF Board
1027,UDFA,Jaylon Allen,Memphis,EDGE,EDGE82,UDFA,1.29,-476,Not on PFF Board
1028,UDFA,Sean Chambers,Montana State,QB,QB66,UDFA,1.3,Not in Consensus,Not on PFF Board
1029,UDFA,Ahmad Edwards,Ball State,WR,WR214,UDFA,1.29,Not in Consensus,Not on PFF Board
1030,UDFA,Jacob Mangum-Farrar,Indiana,LB,LB133,UDFA,1.28,Not in Consensus,Not on PFF Board
1031,UDFA,Miles Marshall,Miami (Ohio),WR,WR215,UDFA,1.28,Not in Consensus,Not on PFF Board
1032,UDFA,Dylan Wyatt,Arizona,CB,CB123,UDFA,1.27,Not in Consensus,Not on PFF Board
1033,UDFA,Micah Leon,Florida,QB,QB67,UDFA,1.3,Not in Consensus,Not on PFF Board
1034,UDFA,Phoenix Sproles,James Madison,WR,WR216,UDFA,1.27,Not in Consensus,Not on PFF Board
1035,UDFA,Walter Yates III,UCF,LB,LB134,UDFA,1.27,Not in Consensus,Not on PFF Board
1036,UDFA,Easton Dean,Iowa State,TE,TE77,UDFA,1.26,-547,Not on PFF Board
1037,UDFA,Frank Bentley,Florida Memorial,WR,WR217,UDFA,1.26,Not in Consensus,Not on PFF Board
1038,UDFA,Ryan Johnson,Youngstown State,OG,OG41,UDFA,1.25,Not in Consensus,Not on PFF Board
1039,UDFA,Treyvon Cahalan-Gray,Minn. Duluth,C,C35,UDFA,1.25,Not in Consensus,Not on PFF Board
1040,UDFA,Assanti Kearney,Monmouth,WR,WR218,UDFA,1.25,Not in Consensus,Not on PFF Board
1041,UDFA,Mike Novitsky,Kansas,C,C36,UDFA,1.25,-451,Not on PFF Board
1042,UDFA,Billy Kemp,Nebraska,WR,WR219,UDFA,1.24,Not in Consensus,Not on PFF Board
1043,UDFA,Leroy Thomas,Western Michigan,WR,WR220,UDFA,1.24,Not in Consensus,Not on PFF Board
1044,UDFA,Jalen Mayden,San Diego State,QB,QB68,UDFA,1.2,-526,Not on PFF Board
1045,UDFA,Josh Ellison,Memphis,IDL,IDL74,UDFA,1.23,Not in Consensus,Not on PFF Board
1046,UDFA,Marquis Williams,Pitt,CB,CB124,UDFA,1.23,Not in Consensus,Not on PFF Board
1047,UDFA,C.J. Siegel,North Dakota,CB,CB125,UDFA,1.22,Not in Consensus,Not on PFF Board
1048,UDFA,Dezmin Lyburtus,Ashland,WR,WR221,UDFA,1.22,Not in Consensus,Not on PFF Board
1049,UDFA,Blake Gobel,E. Washington,TE,TE78,UDFA,1.22,Not in Consensus,Not on PFF Board
1050,UDFA,Noah Cain,LSU,RB,RB47,UDFA,1.22,-583,Not on PFF Board
1051,UDFA,Demetries Ford,Arizona State,CB,CB126,UDFA,1.22,Not in Consensus,Not on PFF Board
1052,UDFA,Kenyon'TA Skinner,West Georgia,WR,WR222,UDFA,1.21,Not in Consensus,Not on PFF Board
1053,UDFA,Decorian Patterson,UCF,CB,CB127,UDFA,1.21,-455,Not on PFF Board
1054,UDFA,Ryan Montgomery,Cincinnati,RB,RB48,UDFA,1.21,Not in Consensus,Not on PFF Board
1055,UDFA,Jacob Kibodi,Louisiana,RB,RB49,UDFA,1.21,Not in Consensus,Not on PFF Board
1056,UDFA,Seth Porter,Kansas State,WR,WR223,UDFA,1.20,Not in Consensus,Not on PFF Board
1057,UDFA,Walter Reynolds,Ohio,SAF,SAF64,UDFA,1.20,Not in Consensus,Not on PFF Board
1058,UDFA,Keyon Lesane,North Carolina State,WR,WR224,UDFA,1.19,Not in Consensus,Not on PFF Board
1059,UDFA,Jordan Oliver,Houston Christian,CB,CB128,UDFA,1.19,Not in Consensus,Not on PFF Board
1060,UDFA,Zane Lewis,Delaware,WR,WR225,UDFA,1.19,Not in Consensus,Not on PFF Board
1061,UDFA,Giovanni Sanders,Arizona State,WR,WR226,UDFA,1.18,Not in Consensus,Not on PFF Board
1062,UDFA,Rondell Bothroyd,Oklahoma,EDGE,EDGE83,UDFA,1.18,-500,Not on PFF Board
1063,UDFA,Malik Fleming,Houston,SAF,SAF65,UDFA,1.18,Not in Consensus,Not on PFF Board
1064,UDFA,Colin O'Brien,Wyoming,TE,TE79,UDFA,1.18,Not in Consensus,Not on PFF Board
1065,UDFA,Kyndel Dean,Furman,WR,WR227,UDFA,1.18,Not in Consensus,Not on PFF Board
1066,UDFA,Hayden Rucci,WISCONSIN,TE,TE80,UDFA,1.18,Not in Consensus,Not on PFF Board
1067,UDFA,Nico Ragaini,Iowa,WR,WR228,UDFA,1.18,Not in Consensus,Not on PFF Board
1068,UDFA,Jeff Undercuffler,Akron,QB,QB69,UDFA,1.2,Not in Consensus,Not on PFF Board
1069,UDFA,D'Marcus Adams,Syracuse,WR,WR229,UDFA,1.17,Not in Consensus,Not on PFF Board
1070,UDFA,Jaylan Franklin,MICH STATE,TE,TE81,UDFA,1.16,Not in Consensus,Not on PFF Board
1071,UDFA,Aaron Faumui,Virginia,IDL,IDL75,UDFA,1.16,Not in Consensus,Not on PFF Board
1072,UDFA,JJ Laap,SUNY Cortland,WR,WR230,UDFA,1.16,Not in Consensus,Not on PFF Board
1073,UDFA,Hamze El-Zayat,Eastern Michigan,WR,WR231,UDFA,1.15,Not in Consensus,Not on PFF Board
1074,UDFA,Denzel Daxon,Illinois,IDL,IDL76,UDFA,1.15,Not in Consensus,Not on PFF Board
1075,UDFA,Jerry Roberts,Umass,LB,LB135,UDFA,1.15,-462,Not on PFF Board
1076,UDFA,Myles Heard,Louisiana Tech,SAF,SAF66,UDFA,1.14,Not in Consensus,Not on PFF Board
1077,UDFA,Alexander Smith,Wisconsin,CB,CB129,UDFA,1.14,Not in Consensus,Not on PFF Board
1078,UDFA,Marlon Cook,Tenn.-Martin,WR,WR232,UDFA,1.14,Not in Consensus,Not on PFF Board
1079,UDFA,Lawrence Lagrone,North Carolina A&T,OG,OG42,UDFA,1.14,Not in Consensus,Not on PFF Board
1080,UDFA,Jalen Bracey,FIU,WR,WR233,UDFA,1.13,Not in Consensus,Not on PFF Board
1081,UDFA,Jordan Goco,Austin Peay,TE,TE82,UDFA,1.13,Not in Consensus,Not on PFF Board
1082,UDFA,Keondre Swoopes,UAB,SAF,SAF67,UDFA,1.13,Not in Consensus,Not on PFF Board
1083,UDFA,Tayvonn Kyle,Virginia,CB,CB130,UDFA,1.13,Not in Consensus,Not on PFF Board
1084,UDFA,Kahtero Summers,Rhode Island,WR,WR234,UDFA,1.12,Not in Consensus,Not on PFF Board
1085,UDFA,Kwinton Lassiter,Kansas,CB,CB131,UDFA,1.11,Not in Consensus,Not on PFF Board
1086,UDFA,Steven Krajewski,Wagner,QB,QB70,UDFA,1.1,Not in Consensus,Not on PFF Board
1087,UDFA,DJ England-Chisolm,M. Tennessee St.,WR,WR235,UDFA,1.11,Not in Consensus,Not on PFF Board
1088,UDFA,Vincent Lumia,LOUISVILLE,RT,OT83,UDFA,1.10,Not in Consensus,Not on PFF Board
1089,UDFA,Justice Dingle,Kentucky,TE,TE83,UDFA,1.09,Not in Consensus,Not on PFF Board
1090,UDFA,Trey Dixon,UNC Pembroke,WR,WR236,UDFA,1.09,Not in Consensus,Not on PFF Board
1091,UDFA,Cam Dillon,Duke,LB,LB136,UDFA,1.08,Not in Consensus,Not on PFF Board
1092,UDFA,Kurott Garland,Tennessee,IDL,IDL77,UDFA,1.08,Not in Consensus,Not on PFF Board
1093,UDFA,Johnny Hudson Jr.,Fresno State,IDL,IDL78,UDFA,1.08,Not in Consensus,Not on PFF Board
1094,UDFA,C'Bo Flemister,Pitt,RB,RB50,UDFA,1.07,Not in Consensus,Not on PFF Board
1095,UDFA,J.D. Duplain,Michigan State,OG,OG43,UDFA,1.07,-609,Not on PFF Board
1096,UDFA,Josh Henderson,Indiana,RB,RB51,UDFA,1.06,Not in Consensus,Not on PFF Board
1097,UDFA,Mike Katic,Indiana,OG,OG44,UDFA,1.06,Not in Consensus,Not on PFF Board
1098,UDFA,Justin Mascoll,Clemson,EDGE,EDGE84,UDFA,1.06,Not in Consensus,Not on PFF Board
1099,UDFA,James Mautino,Aurora,WR,WR237,UDFA,1.06,Not in Consensus,Not on PFF Board
1100,UDFA,Nyles Gaddy,Missouri,EDGE,EDGE85,UDFA,1.06,-715,Not on PFF Board
1101,UDFA,Aric Harris,Maryland,C,C37,UDFA,1.06,Not in Consensus,Not on PFF Board
1102,UDFA,TD Ayo-Durojaiye,Villanova,RB,RB52,UDFA,1.06,Not in Consensus,Not on PFF Board
1103,UDFA,Braden Cassity,Oklahoma State,TE,TE84,UDFA,1.05,Not in Consensus,Not on PFF Board
