Rnd,Pick,Tm,Player,Pos,School
7,230,DET,Dan Jackson,SAF,Georgia
7,231,MIA,Quinn Ewers,QB,Texas
7,232,IND,Hunter Wohler,SAF,Wisconsin
7,233,CHI,Kyle Monangai,RB,Rutgers
7,234,SEA,Mason Richman,OL,Iowa
7,235,TAM,Tez Johnson,WR,Oregon
7,236,JAX,LeQuint Allen,RB,Syracuse
7,237,GNB,Micah Robinson,CB,Tulane
7,238,SEA,Ricky White,WR,UNLV
7,239,DAL,Phil Mafah,RB,Clemson
7,240,BUF,Kaden Prather,WR,Maryland
7,241,DEN,Caleb Lohner,TE,Utah
7,242,LAR,Konata Mumpfield,WR,Pittsburgh
7,243,BAL,Garrett Dellinger,G,LSU
7,244,DET,Dominic Lovett,WR,Georgia
7,245,WAS,Jacory Croskey-Merritt,RB,Arizona
7,246,NYG,Korie Black,CB,Oklahoma St.
7,247,DAL,Tommy Akingbesote,DT,Maryland
7,248,NOR,Moliki Matavao,TE,UCLA
7,249,SFO,Connor Colby,OL,Iowa
7,250,GNB,John Williams,OL,Cincinnati
7,251,NWE,Julian Ashby,LS,Vanderbilt
7,252,SFO,Junior Bergen,WR,Montana
7,253,MIA,Zeek Biggers,DL,Georgia Tech
7,254,NOR,Fadil Diggs,DE,Syracuse
7,255,HOU,Luke Lachey,TE,Iowa
7,256,LAC,Trikweze Bridges,SAF,Florida
7,257,NWE,Kobee Minor,DB,Memphis
