player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Gavin Holmes,123389,CB,TEXAS,11,1,6.0,0,0,311,78.7,78.6,82.9,,68.2,69.8,0.0,0,1,111,112,0.9,1,2
J.J. Roberts,123399,S,MARSHALL,9,8,8.4,0,1,214,68.8,69.2,43.6,57.9,70.2,79.8,12.9,4,1,235,243,2.1,5,19
Kendron Wayman,123405,ED,WAKE,12,9,4.2,0,0,339,82.7,68.2,90.5,55.9,67.1,76.0,6.3,2,0,291,292,5.2,15,21
Lanell Carr,123411,ED,INDIANA,12,6,2.4,2,0,190,45.2,57.0,7.9,62.1,64.2,59.2,10.7,3,5,193,199,7.3,14,19
Jairo Faverus,123416,LB,W VIRGINIA,2,0,1.0,0,0,343,58.5,67.1,73.2,69.0,70.6,40.4,25.0,1,0,11,11,27.3,3,3
Sean Martin,123423,ED,W VIRGINIA,13,2,3.1,0,0,343,65.8,65.3,65.7,62.2,64.8,55.9,5.3,1,1,202,204,4.5,9,16
Akheem Mesidor,123427,ED,MIAMI FL,2,1,2.0,0,0,220,60.4,76.6,77.2,65.8,79.3,77.5,0.0,0,0,14,14,21.4,3,3
Daryl Porter Jr.,123429,CB,MIAMI FL,10,4,4.7,0,0,220,80.2,80.6,84.5,61.1,74.9,82.5,12.5,1,0,204,207,0.5,1,3
Taurus Simmons,123431,ED,W VIRGINIA,5,0,3.0,0,0,343,36.4,58.9,80.1,90.3,55.8,73.0,0.0,0,0,19,19,5.3,1,1
Talique Allen,123441,S,W KENTUCKY,13,5,7.0,0,0,346,79.7,75.0,87.8,64.1,61.0,43.1,25.6,10,0,267,273,2.6,7,24
Travis Collier,123446,S,JVILLE ST,4,0,,0,0,196,63.6,59.6,72.2,,55.3,,,0,0,7,8,0.0,0,0
Nicholas Days,123448,LB,LIBERTY,5,0,5.0,0,0,206,55.1,52.9,76.9,62.4,50.1,75.8,0.0,0,0,10,10,0.0,0,1
