player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Justin Harrington,122928,S,W VIRGINIA,7,0,0,343,54.2,0,0,8,21.6,0.0,0,1,0.0,0,37,8,0,0,57.4,0,0,3,17.6,0.0,0,0.0,0,17,3,0
Shane Whitter,122949,LB,N TEXAS,9,0,0,251,55.3,3,4,47,24.9,6.4,3,1,7.4,0,205,51,7,0,61.2,1,1,12,29.5,8.3,1,8.3,0,44,13,2
Jeff Roberson,122986,LB,MINNESOTA,4,0,0,225,58.4,0,0,2,16.7,0.0,0,0,0.0,0,12,2,0,0,,0,0,0,0.0,,0,,0,1,0,0
Nick Session,122990,S,NEW MEX ST,12,0,0,242,51.9,0,0,4,1.4,0.0,0,1,0.0,0,360,5,0,0,51.9,0,0,4,4.2,0.0,0,0.0,0,118,5,0
Rashad Battle,123003,CB,PITTSBURGH,11,0,0,268,69.8,0,0,2,0.7,0.0,0,2,50.0,1,286,2,1,0,69.8,0,0,2,1.8,0.0,0,50.0,1,111,2,1
Dayon Hayes,123010,ED,TEXAS A&M,13,1,1,312,77.3,6,19,221,99.6,14.0,31,1,7.5,4,239,238,29,0,76.3,2,10,88,100.0,17.0,15,10.2,3,95,95,15
Bangally Kamara,123012,LB,KANSAS,11,0,1,198,79.3,4,12,77,29.3,19.5,15,2,13.0,2,270,79,18,0,68.3,3,4,26,30.2,15.4,4,21.2,2,86,26,9
Buddy Mack III,123015,CB,S CAROLINA,1,0,0,289,59.5,0,0,1,12.5,0.0,0,0,0.0,0,8,1,0,0,59.5,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Leon Lowery Jr.,123045,ED,ILLINOIS,12,0,0,187,58.7,0,10,108,69.2,6.5,7,0,6.5,2,156,108,12,0,62.0,0,4,38,79.2,7.9,3,7.9,1,48,38,5
Anwar Sparrow,123054,LB,SYRACUSE,11,0,0,304,55.5,1,2,30,20.8,3.3,1,1,8.3,1,149,31,4,0,66.7,1,1,8,18.2,12.5,1,25.0,1,44,8,3
Stefon Thompson,123055,LB,FLORIDA ST,10,0,0,167,67.1,0,3,33,31.0,6.1,2,0,16.7,4,113,35,7,0,68.4,0,2,9,33.3,22.2,2,22.2,1,27,9,3
Bud Clark,123066,S,TCU,11,0,2,305,71.9,1,2,3,1.0,0.0,0,7,83.3,1,404,4,4,0,71.9,0,1,3,2.5,0.0,0,50.0,1,158,4,2
Jai'Onte' McMillan,123089,CB,MINNESOTA,11,0,1,225,80.4,1,1,6,3.0,33.3,2,2,16.7,0,203,6,2,0,69.6,1,0,2,3.2,50.0,1,25.0,0,62,2,1
Xavion Alford,123103,S,ARIZONA ST,2,0,0,110,56.7,0,0,2,2.4,0.0,0,0,0.0,0,83,2,0,0,56.7,0,0,2,5.0,0.0,0,0.0,0,40,2,0
Prince Dorbah,123113,ED,ARIZONA ST,11,0,0,110,70.5,6,18,218,98.3,11.0,24,2,7.3,4,234,230,28,0,74.1,4,10,88,99.0,15.9,14,11.4,3,96,95,17
Sawyer Goram-Welch,123116,DI,COAST CAR,13,1,0,141,70.1,0,10,170,100.0,7.6,13,0,4.1,2,177,177,12,0,65.7,0,2,11,100.0,18.2,2,9.1,0,14,14,2
Bryce Ramirez,123156,LB,TEXAS TECH,8,0,0,315,63.6,1,3,4,4.9,0.0,0,0,75.0,1,81,4,5,0,45.8,0,2,2,7.7,0.0,0,50.0,0,26,2,2
Adonis Friloux,123216,DI,BAYLOR,10,0,0,118,53.3,0,1,59,100.0,0.0,0,0,0.8,0,62,62,1,0,54.4,0,0,13,100.0,0.0,0,0.0,0,13,13,0
Jesus Machado,123224,LB,HOUSTON,2,0,0,182,59.6,0,1,0,11.1,,0,0,,0,9,1,1,0,,0,0,0,0.0,,0,,0,4,0,0
Everitt Rogers,123261,DI,HOUSTON,3,0,0,182,58.1,0,0,5,100.0,0.0,0,0,0.0,0,7,7,0,0,59.5,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Mac Harris,123285,LB,USF,13,0,0,327,80.7,3,18,99,20.9,18.2,18,0,16.7,6,489,102,27,0,77.0,2,8,47,27.5,21.3,10,21.3,5,178,49,15
Ben Knox,123286,CB,USF,11,0,2,327,60.0,0,0,2,1.0,0.0,0,5,0.0,0,195,2,0,0,,0,0,0,0.0,,0,,0,62,0,0
Justin Beadles,123341,ED,LOUISVILLE,13,0,0,210,51.9,0,3,94,97.0,3.2,3,1,1.6,0,101,98,3,0,50.7,0,2,28,100.0,3.6,1,3.6,0,30,30,2
Alec Bryant,123343,ED,ILLINOIS,13,0,0,187,66.7,3,6,156,74.2,8.3,13,0,3.5,1,221,164,10,0,67.0,2,1,42,74.2,7.1,3,6.0,1,62,46,4
Nick Andersen,123370,S,WAKE,13,0,1,339,68.1,0,3,17,3.9,0.0,0,1,20.6,2,487,19,5,0,61.7,0,1,9,5.2,0.0,0,16.7,1,174,9,2
James Ash,123371,DI,AUBURN,2,0,0,115,58.1,0,0,4,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
Akheem Mesidor,123427,ED,MIAMI FL,15,0,0,220,92.5,4,50,423,86.7,20.8,88,0,9.5,13,513,445,67,0,94.2,3,29,161,85.9,36.6,59,17.4,12,199,171,44
JaQues Evans,123449,ED,COLO STATE,5,0,2,144,64.8,1,5,70,71.0,10.0,7,5,4.3,0,107,76,6,0,66.8,1,2,25,93.5,20.0,5,6.0,0,31,29,3
Aaron Key,123454,LB,UCONN,13,0,0,146,63.5,0,5,136,51.0,5.9,8,0,2.6,1,288,147,6,0,58.2,0,4,55,46.9,9.1,5,3.6,0,130,61,4
Kendrick Simpkins,123466,S,BAYLOR,11,0,1,118,63.6,2,3,30,18.4,10.0,3,3,11.7,1,174,32,6,0,54.7,0,0,12,24.5,8.3,1,0.0,0,49,12,0
Jason Scott,123549,S,DELAWARE,8,0,0,151,55.7,0,0,11,7.1,0.0,0,0,0.0,0,154,11,0,0,56.3,0,0,3,12.0,0.0,0,0.0,0,25,3,0
De'Arre McDonald,123572,CB,MIDDLE TN,12,0,0,224,64.1,0,1,5,1.8,20.0,1,3,10.0,0,272,5,1,0,69.8,0,1,2,1.8,50.0,1,25.0,0,113,2,1
Sterling Miles,123574,ED,E MICHIGAN,10,1,0,160,69.4,3,10,100,82.7,9.0,9,1,7.5,1,133,110,14,0,71.0,0,7,38,89.6,15.8,6,11.8,1,48,43,8
