Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
2021,Daviyon Nixon,DT,Iowa,6-3,313.0,4.9,28.5,,106.0,7.68,4.7,True,5.0,158.0,8.35,35.12,4.8,6.0,256.0,7.5
2021,Elijah Ponder,DT,Cincinnati,6-1,268.0,5.06,30.0,27.0,101.0,7.45,4.53,False,,,5.74,31.0,16.1,13.5,224.0,8.7
2021,Jordon Scott,DT,Oregon,6-0,311.0,,,23.0,,,,False,,,,31.38,13.3,8.9,128.0,5.0
2021,Tyler Shelvin,DT,LSU,6-2,350.0,5.4,28.5,,97.0,8.15,5.05,True,4.0,122.0,0.86,33.62,3.9,4.4,316.0,6.5
2021,George Silvanic,DT,Air Force,6-5,286.0,5.21,29.5,,105.0,7.5,4.6,False,,,6.17,,27.9,20.3,153.0,6.7
2021,Tommy Togiai,DT,Ohio St.,6-1,296.0,4.97,32.0,40.0,105.0,7.2,4.49,True,4.0,132.0,8.57,31.75,14.5,11.1,189.0,10.1
2021,Drew Wiley,DT,Kansas St.,6-4,294.0,5.24,34.0,24.0,112.0,7.34,4.45,False,,,8.26,,12.5,5.0,253.0,5.4
2021,Marvin Wilson,DT,Florida St.,6-3,303.0,5.12,25.5,23.0,107.0,7.64,4.91,False,,,5.43,33.38,15.2,9.3,127.0,7.1
2022,Thomas Booker,DT,Stanford,6-3,301.0,4.94,,,110.0,7.33,4.41,True,5.0,150.0,9.88,33.25,7.4,5.8,379.0,6.4
2022,Matthew Butler,DT,Tennessee,6-4,297.0,5.0,32.0,17.0,112.0,7.89,4.81,True,5.0,175.0,7.27,33.5,13.6,9.7,430.0,7.2
2022,DJ Davidson,DT,Arizona St.,6-3,327.0,,28.0,23.0,,7.85,4.72,True,5.0,147.0,4.15,33.0,12.0,7.9,260.0,11.3
2022,Jordan Davis,DT,Georgia,6-6,341.0,4.78,32.0,,123.0,,,True,1.0,13.0,10.0,34.0,10.5,6.0,221.0,12.2
