Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2016,Devon Cajuste,WR,Stanford,76.0,234.0,4.62,36.0,123.0,12.0,6.49,4.2,False,,,,33.0,13.0,1.64,14.1,65.9,13.8,120.1,,6.9,3.7,1.0,51.8,48.2,0.0,93.6,233.0,41.0,27.0
2016,Leonte Carroo,WR,Rutgers,72.0,211.0,4.5,35.5,120.0,14.0,,,True,3.0,86.0,,31.38,8.0,4.16,20.7,68.4,14.6,121.5,,4.9,6.8,7.0,7.5,92.5,0.0,96.5,194.0,57.0,39.0
2016,Corey Coleman,WR,Baylor,71.0,194.0,4.42,40.5,129.0,17.0,,,True,1.0,15.0,,30.25,12.0,3.99,18.4,63.8,14.5,133.1,,11.9,7.7,13.0,26.7,71.9,0.0,93.2,342.0,116.0,74.0
2016,Pharoh Cooper,WR,South Carolina,71.0,203.0,4.52,31.0,115.0,15.0,,,True,4.0,117.0,,32.25,12.0,2.6,14.8,59.5,10.5,93.6,,7.0,7.8,14.0,84.8,11.9,0.0,94.9,376.0,111.0,66.0
2016,Cody Core,WR,Mississippi,75.0,205.0,4.47,31.5,119.0,14.0,,,True,6.0,199.0,,32.0,13.0,2.08,17.4,66.1,12.4,121.5,,5.1,7.4,5.0,13.5,86.5,0.0,95.4,310.0,56.0,37.0
2016,Trevor Davis,WR,California,73.0,188.0,4.42,38.5,124.0,11.0,6.6,4.22,True,5.0,163.0,,31.0,13.0,2.49,16.8,75.5,10.5,121.8,,4.8,9.7,6.0,3.5,96.5,0.0,94.1,269.0,53.0,40.0
2016,Josh Doctson,WR,TCU,74.0,202.0,4.5,41.0,131.0,14.0,6.84,4.08,True,1.0,22.0,,31.88,10.0,4.08,17.0,72.2,15.2,149.2,,7.1,4.0,9.0,5.8,93.9,0.0,93.7,325.0,108.0,78.0
2016,D.J. Foster,WR,Arizona State,70.0,193.0,4.57,35.5,117.0,14.0,6.75,4.07,False,,,,30.5,13.0,1.54,9.7,54.7,7.8,75.4,,13.4,5.7,13.0,49.2,40.5,0.5,96.8,366.0,106.0,58.0
2016,Will Fuller,WR,Notre Dame,72.0,186.0,4.32,33.5,126.0,10.0,6.93,4.27,True,1.0,21.0,,30.75,,,,,,,,,,,,,,,,,
2016,Keyarris Garrett,WR,Tulsa,75.0,220.0,4.53,36.5,128.0,14.0,7.3,4.33,False,,,,34.5,13.0,2.87,16.5,59.6,15.5,99.0,,3.0,4.5,21.0,5.3,94.7,0.0,93.5,551.0,161.0,96.0
2016,Rashard Higgins,WR,Colorado State,73.0,196.0,4.64,32.0,116.0,13.0,,,True,5.0,172.0,,32.25,12.0,3.45,14.2,70.1,12.4,122.9,,3.8,4.7,8.0,14.1,85.3,0.3,94.5,308.0,107.0,75.0
