rank,Player,School,Pos,Year,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
31,T.J. Parker,Clemson,ED,2026,3.4514,75.5,263.0,33.125,4.68,34.0,120.0,,,,,109.64840834790695,0.5248696867859513,,1.0,,,,,,,,,,7.6,,,,,,,27.6,15.5,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Akheem Mesidor,Miami,ED,2026,3.4972,75.0,259.0,32.125,4.9,,,,,,,89.85566023874888,0.0,,1.0,,,,,,,,,,4.9,,,,,,,36.6,20.8,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jalen Farmer,Florida,IOL,2026,3.5202,77.0,312.0,,4.93,,108.0,,,,,105.63234293150053,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,De'Zhaun Stribling,Mississippi,WR,2026,3.5809,74.125,207.0,31.62,4.36,36.0,127.0,,,,,114.56563960194973,0.21473953169031096,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.15,14.7,74.3,9.3,136.7,44.4,1.8,7.3,12.0,17.5,80.5,1.0,93.3,,,,,,,,
35,A'Mauri Washington,Oregon,DT,2026,3.593,75.0,330.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,7.2,,,,,,,10.9,8.2,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Makai Lemon,USC,WR,2026,3.6478,71.125,192.0,30.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.13,14.6,73.1,10.3,126.2,71.4,2.5,6.4,21.0,70.6,27.9,0.5,92.0,,,,,,,,
37,Anthony Hill Jr,Texas,LB,2026,3.6636,74.0,238.0,32.375,4.51,37.0,125.0,21.0,,,,115.05375180483195,1.7917108267926292,,1.0,0.9,3.4,250.0,74.4,8.2,0.008,0.004,,,8.6,4.4,2.4,227.0,0.0,2.0,1.0,16.1,10.8,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Zakee Wheatley,Penn State,S,2026,3.684,75.0,203.0,,4.4,,,,,,,108.32166518680415,0.0,,1.0,0.1,10.0,325.0,95.0,30.9,0.003076923076923,0.003076923076923,69.2,70.0,4.5,10.4,6.5,316.0,0.0,1.0,1.0,0.0,5.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,
39,Gracen Halton,Oklahoma,DT,2026,3.7052,74.625,293.0,31.125,4.82,36.5,114.0,,,4.79,,108.56990631187224,3.774820631168979,,1.0,,,,,,,,,,10.2,,,,,,,14.4,10.4,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Keionte Scott,Auburn,CB,2026,3.7096,71.0,193.0,,,,,,,,,,0.0,,1.0,0.9,8.9,390.0,81.8,6.6,0.0051282051282051,0.0102564102564102,69.9,69.6,6.9,12.1,3.7,279.0,1.0,2.0,4.0,9.4,8.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,
