Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2018,Brian Allen,C,Michigan State,6-1,298.0,5.34,26.5,27.0,99.0,7.81,4.71,True,4.0,111.0,4.05,,1,0.03208556149732621,0.0,187.0,457.0,80.7,0.569,0.298,0.004658385093167702
2018,Will Clapp,C,LSU,6-4,311.0,5.39,29.0,25.0,97.0,8.04,4.92,True,7.0,245.0,,,1,0.046511627906976744,0.007751937984496124,129.0,495.0,76.5,0.45899999999999996,0.36200000000000004,0.0016025641025641025
2018,Mason Cole,C,Michigan,6-4,307.0,5.23,23.5,23.0,104.0,7.77,4.78,True,3.0,97.0,6.32,,1,0.059782608695652176,0.010869565217391304,184.0,467.0,75.9,0.604,0.298,0.0030721966205837174
2018,Austin Corbett,OG,Nevada,6-4,306.0,5.15,28.0,19.0,106.0,7.87,4.5,True,2.0,33.0,8.42,33.12,0,0.043243243243243246,0.010810810810810811,185.0,315.0,68.6,0.20600000000000002,0.752,0.004
2018,James Daniels,C,Iowa,6-3,306.0,,30.5,21.0,108.0,7.29,4.4,True,2.0,39.0,8.57,,1,0.024,0.008,125.0,398.0,91.1,0.20600000000000002,0.7190000000000001,0.0057361376673040155
2018,Jamil Demby,OG,Maine,6-4,319.0,5.58,23.5,17.0,98.0,7.86,4.95,True,6.0,192.0,2.25,33.75,0,,,,,,,,
2018,Colby Gossett,OG,Appalachian State,6-5,311.0,5.2,25.0,32.0,103.0,7.6,4.83,True,6.0,213.0,7.42,33.88,0,0.075,0.0,80.0,477.0,75.9,0.048,0.9059999999999999,0.003590664272890485
2018,Taylor Hearn,OG,Clemson,6-4,320.0,5.45,24.0,18.0,96.0,7.84,4.8,False,,,2.85,32.5,0,0.06837606837606838,0.017094017094017096,117.0,358.0,70.8,0.441,0.489,0.0
2018,Will Hernandez,OG,Texas-El Paso,6-2,327.0,5.15,24.0,37.0,104.0,7.59,4.7,True,2.0,34.0,8.83,32.0,0,0.017045454545454544,0.0,176.0,285.0,82.6,0.40700000000000003,0.47,0.004338394793926247
2018,Sam Jones,OG,Arizona State,6-5,305.0,5.32,27.0,28.0,101.0,7.92,4.86,True,6.0,183.0,4.88,31.0,0,0.043478260869565216,0.005434782608695652,184.0,469.0,64.5,0.354,0.595,0.0030627871362940277
