Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2018,Jordan Whitehead,S,Pittsburgh,5-11,195.0,,,21.0,,,,True,4.0,117.0,5.15,29.75,,,,2.7,18.2,7.7,261.0,0.0,1.0,6.3,331.0,100.0,1.0,2.0,9.8,0.0030211480362537764,0.006042296072507553,117.7,59.4,12.5
2019,Johnathan Abram,S,Mississippi State,5-11,205.0,4.45,,,116.0,,,True,1.0,27.0,7.02,31.38,11.8,17.6,54.0,2.2,8.9,8.3,333.0,0.0,0.7,12.5,384.0,87.7,2.0,1.0,7.7,0.005208333333333333,0.0026041666666666665,76.0,64.6,8.2
2019,Nasir Adderley,S,Delaware,6-0,206.0,,,,,,,True,2.0,60.0,7.17,31.0,,,,,,,,,,,,,,,,,,,,
2019,Ugo Amadi,S,Oregon,5-9,199.0,4.51,32.5,18.0,115.0,7.21,4.19,True,4.0,132.0,,31.75,0.0,0.0,37.0,2.2,16.7,10.1,368.0,0.0,1.1,15.7,458.0,92.5,3.0,5.0,6.3,0.006550218340611353,0.010917030567685589,67.9,55.7,11.9
2019,John Battle,S,LSU,6-0,201.0,4.67,29.5,,120.0,7.09,4.33,False,,,2.38,31.75,0.0,0.0,9.0,3.0,23.1,7.1,206.0,0.0,0.5,9.5,285.0,96.9,3.0,1.0,12.8,0.010526315789473684,0.0035087719298245615,71.6,61.9,12.0
2019,Mike Bell,S,Fresno State,6-3,210.0,4.83,30.0,10.0,118.0,7.1,4.46,False,,,1.15,,0.0,0.0,3.0,2.6,19.0,6.9,397.0,0.0,0.4,24.2,513.0,99.4,3.0,7.0,14.8,0.005847953216374269,0.01364522417153996,44.9,51.5,14.8
2019,Marquise Blair,S,Utah,6-1,195.0,4.48,35.0,,125.0,,,True,2.0,47.0,8.32,30.75,7.1,6.1,35.0,4.1,15.4,6.9,323.0,0.0,0.0,28.6,436.0,92.6,2.0,2.0,58.4,0.0045871559633027525,0.0045871559633027525,50.3,42.9,13.4
2019,Jonathan Crawford,S,Indiana,6-1,205.0,,31.5,16.0,115.0,,,False,,,2.41,31.5,0.0,0.0,8.0,2.1,5.6,7.7,337.0,0.0,1.2,10.0,349.0,97.8,1.0,4.0,6.5,0.0028653295128939827,0.011461318051575931,105.2,56.0,12.9
2019,Lukas Denis,S,Boston Col.,5-11,190.0,4.64,33.5,16.0,116.0,6.89,4.09,False,,,3.34,31.25,0.0,0.0,9.0,2.0,15.6,10.4,348.0,0.0,0.7,7.4,411.0,97.9,1.0,1.0,14.6,0.0024330900243309003,0.0024330900243309003,131.2,74.1,13.9
2019,D'Cota Dixon,S,Wisconsin,5-10,204.0,4.81,33.5,20.0,119.0,,,False,,,3.49,29.25,16.7,15.4,13.0,3.6,12.5,6.1,253.0,0.0,0.7,8.3,277.0,95.5,0.0,2.0,10.8,0.0,0.007220216606498195,129.0,66.7,10.2
