Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2022,Coby Bryant,CB,Cincinnati,6-1,193.0,4.54,,17.0,,,,True,4.0,109.0,5.58,,,0.0,1.0,0.7,0.0,8.1,472.0,1.0,1.0,18.4,493.0,99.8,3.0,11.0,6.2,0.006085192697768763,0.02231237322515213,61.7,44.7,14.0
2022,Tariq Castro-Fields,CB,Penn St.,6-1,197.0,4.38,,,,,,True,6.0,221.0,9.74,,0.0,0.0,7.0,0.6,47.8,9.3,316.0,0.0,1.0,14.6,385.0,98.2,0.0,4.0,7.5,0.0,0.01038961038961039,85.8,56.3,11.1
2022,Cobie Durant,CB,South Carolina St.,5-10,180.0,4.38,,,,,,True,4.0,142.0,,,,,,,,,,,,,,,,,,,,,,
2022,Kaiir Elam,CB,Florida,6-2,191.0,4.39,,,,,,True,1.0,23.0,8.64,,0.0,20.0,8.0,1.1,0.0,16.6,290.0,0.0,0.6,20.0,359.0,97.8,1.0,3.0,9.5,0.002785515320334262,0.008356545961002786,74.1,51.4,8.0
2022,Martin Emerson,CB,Mississippi St.,6-2,201.0,4.53,,,,,,True,3.0,68.0,8.48,,50.0,33.3,4.0,0.0,11.8,16.4,263.0,0.0,1.0,4.1,374.0,98.9,0.0,2.0,7.3,0.0,0.0053475935828877,100.6,57.1,10.2
2022,Akayleb Evans,CB,Missouri,6-2,197.0,4.46,36.0,,129.0,,,True,4.0,118.0,9.56,,100.0,33.3,3.0,0.6,7.7,8.3,316.0,0.0,1.0,19.1,278.0,98.9,1.0,4.0,5.5,0.0035971223021582736,0.014388489208633094,97.0,53.2,13.1
2022,DaMarcus Fields,CB,Texas Tech,6-0,193.0,4.48,34.5,,,,,False,,,6.17,,,0.0,2.0,0.9,9.1,6.0,337.0,0.0,1.1,13.2,435.0,99.5,0.0,8.0,5.4,0.0,0.01839080459770115,98.4,57.9,11.3
2022,Cordale Flott,CB,LSU,6-1,175.0,,,,,,,True,3.0,81.0,7.44,,,,,2.5,25.0,7.1,252.0,0.0,0.8,11.1,347.0,100.0,1.0,5.0,7.4,0.002881844380403458,0.01440922190201729,73.3,51.1,9.0
2022,Ahmad Gardner,CB,Cincinnati,6-3,190.0,4.41,,,,,,True,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2022,Mario Goodrich,CB,Clemson,6-0,176.0,4.52,,,,,,False,,,4.98,,,0.0,4.0,0.5,0.0,13.1,213.0,0.0,0.7,30.2,365.0,98.9,2.0,6.0,8.1,0.005479452054794521,0.01643835616438356,49.0,51.2,12.4
2022,Kyler Gordon,CB,Washington,6-0,194.0,4.52,,,,,,True,2.0,39.0,9.69,,0.0,7.1,15.0,1.7,10.0,9.8,428.0,0.0,0.7,15.0,354.0,95.9,2.0,6.0,8.6,0.005649717514124294,0.01694915254237288,47.3,50.0,10.9
2022,Vincent Gray,CB,Michigan,6-2,192.0,4.54,,,,,,False,,,7.16,,0.0,0.0,3.0,1.5,14.3,6.9,343.0,0.0,1.1,12.5,465.0,99.4,0.0,4.0,6.9,0.0,0.008602150537634409,109.8,60.9,10.3
2022,Joshua Jobe,CB,Alabama,6-0,182.0,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
2022,Jack Jones,CB,Arizona St.,5-11,171.0,4.51,,,,,,True,4.0,121.0,6.76,,0.0,0.0,1.0,2.6,28.0,6.3,309.0,2.0,1.3,14.0,351.0,99.7,3.0,5.0,6.5,0.008547008547008548,0.014245014245014245,86.3,66.0,12.2
2022,Marcus Jones,CB,Houston,5-8,174.0,,,,,,,True,3.0,85.0,,,,0.0,1.0,2.8,7.1,6.5,215.0,0.0,1.5,22.7,382.0,99.7,5.0,12.0,4.7,0.013089005235602094,0.031413612565445025,53.5,48.0,14.4
2022,Derion Kendrick,CB,Georgia,6-0,194.0,,,,,,,True,6.0,212.0,1.51,,0.0,0.0,6.0,1.1,9.1,4.3,267.0,0.0,0.8,13.0,514.0,98.8,4.0,5.0,9.1,0.007782101167315175,0.009727626459143969,38.6,46.3,14.2
2022,Chase Lucas,CB,Arizona St.,5-11,180.0,4.48,39.0,,128.0,,,True,7.0,237.0,8.89,,,33.3,3.0,0.4,0.0,8.1,244.0,0.0,1.4,13.6,318.0,99.1,0.0,6.0,5.0,0.0,0.018867924528301886,83.3,62.7,9.3
2022,Damarri Mathis,CB,Pittsburgh,5-11,196.0,4.39,,,,,,True,4.0,115.0,9.71,,0.0,0.0,6.0,0.8,0.0,10.9,272.0,0.0,1.0,15.2,444.0,98.7,2.0,4.0,6.3,0.0045045045045045045,0.009009009009009009,71.8,50.0,13.4
2022,Zyon McCollum,CB,Sam Houston St.,6-2,199.0,4.33,39.5,,132.0,6.48,3.94,True,5.0,157.0,,,,,,,,,,,,,,,,,,,,,,
2022,Roger McCreary,CB,Auburn,5-11,190.0,4.5,,,,,,True,2.0,35.0,5.47,,0.0,14.3,8.0,0.9,22.2,16.7,352.0,0.0,1.0,28.0,470.0,98.3,2.0,13.0,6.0,0.00425531914893617,0.027659574468085105,57.8,45.3,12.9
2022,Trent McDuffie,CB,Washington,5-11,193.0,4.44,,,,,,True,1.0,21.0,9.47,,0.0,0.0,3.0,1.3,20.0,5.8,403.0,0.0,0.4,19.4,296.0,99.0,0.0,5.0,8.0,0.0,0.016891891891891893,52.0,44.4,8.8
