Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2018,David Bright,OT,Stanford,6-5,307.0,,,,,,,False,,,,33.25,,,,,,,,
2018,Orlando Brown,OT,Oklahoma,6-8,345.0,5.85,19.5,14.0,82.0,7.87,5.38,True,3.0,83.0,0.7,35.0,0.04310344827586207,0.008620689655172414,116.0,456.0,89.4,0.45,0.474,0.006993006993006993
2018,Alex Cappa,OT,Humboldt State,6-6,305.0,5.39,26.5,24.0,97.0,8.04,4.84,True,3.0,94.0,,32.62,,,,,,,,
2018,Geron Christian,OT,Louisville,6-5,298.0,5.33,,19.0,,,,True,3.0,74.0,2.67,35.0,0.06167400881057269,0.013215859030837005,227.0,360.0,59.7,0.467,0.467,0.0068143100511073255
2018,Tyrell Crosby,OT,Oregon,6-5,309.0,5.23,30.0,17.0,105.0,7.89,4.77,True,5.0,153.0,,35.25,0.02127659574468085,0.0,94.0,548.0,78.1,0.392,0.5529999999999999,0.00778816199376947
2018,Nick Gates,OT,Nebraska,6-5,307.0,5.46,24.0,20.0,94.0,7.61,4.68,False,,,,32.0,0.08040201005025126,0.005025125628140704,199.0,334.0,72.7,0.503,0.314,0.009380863039399626
2018,Desmond Harrison,OT,West Georgia,6-6,292.0,4.9,,,,,,False,,,8.17,34.0,,,,,,,,
2018,Jamarco Jones,OT,Ohio State,6-4,299.0,5.5,24.0,,102.0,8.32,4.99,True,5.0,168.0,0.51,35.12,0.047619047619047616,0.0,147.0,448.0,84.1,0.272,0.672,0.0033613445378151263
2018,Jaryd Jones-Smith,OT,Pittsburgh,6-6,317.0,5.22,27.0,16.0,109.0,8.1,4.94,False,,,,36.25,0.16666666666666666,0.05,120.0,296.0,65.2,0.311,0.568,0.002403846153846154
2018,Rick Leonard,OT,Florida State,6-7,311.0,,,19.0,,,,True,4.0,127.0,,32.25,0.07100591715976332,0.01775147928994083,169.0,391.0,68.4,0.253,0.693,0.005357142857142857
2018,Mike McGlinchey,OT,Notre Dame,6-8,309.0,,28.5,24.0,105.0,,,True,1.0,9.0,,34.0,0.06666666666666667,0.016666666666666666,180.0,459.0,92.0,0.479,0.434,0.0
2018,Kolton Miller,OT,UCLA,6-9,309.0,4.95,31.5,24.0,121.0,7.34,4.49,True,1.0,15.0,9.99,34.12,0.04639175257731959,0.005154639175257732,194.0,349.0,74.3,0.298,0.5529999999999999,0.003683241252302026
2018,Joseph Noteboom,OT,TCU,6-5,309.0,4.96,24.0,27.0,102.0,7.65,4.44,True,3.0,89.0,,34.38,,,,,,,,
2018,Brian O'neill,OT,Pittsburgh,6-7,297.0,4.82,29.5,22.0,107.0,7.14,4.5,True,2.0,62.0,9.6,34.12,0.04242424242424243,0.0,165.0,396.0,68.4,0.321,0.535,0.0
2018,Chukwuma Okorafor,OT,West. Michigan,6-6,320.0,5.31,23.5,19.0,102.0,7.87,4.8,True,3.0,92.0,4.1,34.5,0.09090909090909091,0.015151515151515152,66.0,473.0,65.3,0.195,0.765,0.0055658627087198514
2018,Brandon Parker,OT,North Carolina A&T,6-8,305.0,5.4,28.5,,113.0,7.82,4.68,True,3.0,65.0,6.6,35.0,,,,,,,,
2018,Timon Parris,OT,Stony Brook,6-6,312.0,,,27.0,,,,False,,,,33.88,,,,,,,,
2018,Will Richardson,OT,North Carolina State,6-6,306.0,5.26,31.5,,108.0,7.8,4.83,True,4.0,129.0,5.91,35.25,0.02142857142857143,0.0,140.0,402.0,77.0,0.062,0.8109999999999999,0.0036900369003690036
