Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,Sacks_final_season,TFL_cumulative,TFL_final_season,QB_Hurry_cumulative,QB_Hurry_final_season,PD_cumulative,PD_final_season,SOLO_cumulative,SOLO_final_season,TOT_cumulative,TOT_final_season
2013,Steve Beauharnais,ILB,Rutgers,6-1,240.0,4.84,33.0,19.0,118.0,6.99,4.2,True,7.0,235.0,,,,,,,,,,,,
2013,Jon Bostic,OLB,Florida,6-1,245.0,4.59,32.5,22.0,118.0,6.99,4.24,True,2.0,50.0,,,,,,,,,,,,
2013,Arthur Brown,OLB,Kansas State,6-0,241.0,4.62,,,116.0,,,True,2.0,56.0,,,,,,,,,,,,
2013,Jamie Collins,OLB,Southern Miss,6-3,250.0,4.64,41.5,19.0,139.0,7.1,4.32,True,2.0,52.0,,,,,,,,,,,,
2013,Zaviar Gooden,OLB,Missouri,6-1,234.0,4.47,34.0,27.0,131.0,6.71,4.18,True,3.0,97.0,,,,,,,,,,,,
2013,Khaseem Greene,OLB,Rutgers,6-1,241.0,4.71,30.0,17.0,116.0,7.58,4.2,True,4.0,117.0,,,,,,,,,,,,
2013,Brandon Hepburn,ILB,Florida A&M,6-2,240.0,4.68,32.0,21.0,124.0,7.4,4.55,True,7.0,245.0,,,,,,,,,,,,
2013,Gerald Hodges,OLB,Penn State,6-1,243.0,4.78,,22.0,119.0,,,True,4.0,120.0,,,,,,,,,,,,
2013,DeVonte Holloman,OLB,South Carolina,6-1,243.0,4.76,33.0,15.0,113.0,7.3,4.26,True,6.0,185.0,,,,,,,,,,,,
2013,Jelani Jenkins,ILB,Florida,6-0,243.0,4.65,,27.0,,,,True,4.0,104.0,,,,,,,,,,,,
2013,Nico Johnson,ILB,Alabama,6-2,248.0,4.73,,,,,,True,4.0,99.0,,,,,,,,,,,,
2013,Jarvis Jones,OLB,Georgia,6-2,245.0,4.74,,,,,,True,1.0,17.0,,,,,,,,,,,,
2013,Dion Jordan,OLB,Oregon,6-6,248.0,4.54,32.5,,122.0,7.02,4.35,True,1.0,3.0,,,,,,,,,,,,
2013,A.J. Klein,ILB,Iowa State,6-1,250.0,4.66,,20.0,113.0,,,True,5.0,148.0,,,,,,,,,,,,
2013,Jake Knott,OLB,Iowa State,6-2,243.0,4.84,,,,,,False,,,,,,,,,,,,,,
2013,John Lotulelei,OLB,UNLV,5-11,233.0,4.84,35.5,25.0,117.0,6.91,4.3,False,,,,,,,,,,,,,,
2013,Brandon Magee,OLB,Arizona State,5-11,223.0,4.74,,,114.0,,,False,,,,,,,,,,,,,,
2013,Michael Mauti,OLB,Penn State,6-2,243.0,4.83,,28.0,,,,True,7.0,213.0,,,,,,,,,,,,
2013,Lerentee McCray,OLB,Florida,6-2,250.0,4.74,,,,,,False,,,,,,,,,,,,,,
2013,Barkevious Mingo,OLB,LSU,6-4,241.0,4.58,37.0,,128.0,6.84,4.39,True,1.0,6.0,,,,,,,,,,,,
2013,Kevin Minter,ILB,LSU,6-0,246.0,4.81,33.0,25.0,119.0,,,True,2.0,45.0,,,,,,,,,,,,
2013,Nick Moody,OLB,Florida State,6-1,236.0,4.71,,17.0,118.0,,,True,6.0,180.0,,,,,,,,,,,,
2013,Sio Moore,OLB,Connecticut,6-1,245.0,4.65,38.0,29.0,127.0,7.49,4.31,True,3.0,66.0,,,,,,,,,,,,
2013,Alec Ogletree,OLB,Georgia,6-2,242.0,4.7,33.5,20.0,122.0,7.16,4.39,True,1.0,30.0,,,,,,,,,,,,
2013,Sean Porter,OLB,Texas A&M,6-1,229.0,4.75,35.0,22.0,119.0,,,True,4.0,118.0,,,,,,,,,,,,
2013,Keith Pough,ILB,Howard,6-2,239.0,4.87,33.0,17.0,118.0,7.28,4.47,False,,,,,,,,,,,,,,
2013,Ty Powell,OLB,Harding,6-2,249.0,4.64,37.0,28.0,122.0,6.98,4.4,True,7.0,231.0,,,,,,,,,,,,
2013,Kevin Reddick,ILB,North Carolina,6-1,243.0,4.72,,23.0,113.0,,,False,,,,,,,,,,,,,,
2013,Etienne Sabino,OLB,Ohio State,6-2,247.0,4.75,,24.0,114.0,,,False,,,,,,,,,,,,,,
2013,John Simon,OLB,Ohio State,6-1,257.0,4.62,,,,,,True,4.0,129.0,,,,,,,,,,,,
2013,Jonathan Stewart,ILB,Texas A&M,6-4,242.0,4.68,31.0,19.0,118.0,7.44,4.53,False,,,,,,,,,,,,,,
2013,Bruce Taylor,ILB,Virginia Tech,6-1,237.0,5.01,30.5,19.0,115.0,7.21,4.39,False,,,,,,,,,,,,,,
2013,Mike Taylor,OLB,Wisconsin,6-1,234.0,4.75,,,,,,False,,,,,,,,,,,,,,
2013,Manti Te'o,ILB,Notre Dame,6-1,241.0,4.82,33.0,,113.0,7.13,4.27,True,2.0,38.0,,,,,,,,,,,,
2013,Chase Thomas,OLB,Stanford,6-3,244.0,4.91,32.0,18.0,113.0,7.17,4.31,False,,,,,,,,,,,,,,
2013,Nathan Williams,OLB,Ohio State,6-3,241.0,4.88,35.0,24.0,113.0,6.99,4.44,False,,,,,,,,,,,,,,
2013,Trevardo Williams,OLB,Connecticut,6-1,241.0,4.57,38.0,30.0,124.0,,,True,4.0,124.0,,,,,,,,,,,,
2013,Tom Wort,ILB,Oklahoma,6-0,235.0,4.78,31.5,21.0,111.0,7.41,4.51,False,,,,,,,,,,,,,,
2014,Jeremiah Attaochu,OLB,Georgia Tech,6-3,252.0,,,,,,,True,2.0,50.0,,,,,,,,,,,,
