Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2016,Joey Bosa,DE,Ohio State,6-5,269.0,4.86,32.0,24.0,120.0,6.89,4.21,True,1.0,3.0,,,,,,
2016,Deforest Buckner,DE,Oregon,6-7,291.0,5.05,32.0,,116.0,7.51,4.47,True,1.0,7.0,,,,,,
2016,Jonathan Bullard,DE,Florida,6-3,285.0,4.93,32.0,23.0,116.0,7.31,4.56,True,3.0,72.0,,,,,,
2016,Shilique Calhoun,DE,Michigan State,6-4,251.0,4.82,35.0,23.0,115.0,6.97,4.25,True,3.0,75.0,,,,,,
2016,Kamalei Correa,DE,Boise State,6-3,243.0,4.69,33.0,21.0,108.0,,,True,2.0,42.0,,,,,,
2016,James Cowser,DE,Southern Utah,6-3,248.0,4.82,31.5,21.0,111.0,6.8,4.31,False,,,,,,,,
2016,Kevin Dodd,DE,Clemson,6-5,277.0,4.86,,,,,,True,2.0,33.0,,,,,,
2016,Jason Fanaika,DE,Utah,6-2,271.0,4.92,35.5,23.0,113.0,7.06,4.39,False,,,,,,,,
2016,Branden Jackson,DE,Texas Tech,6-4,273.0,5.06,31.5,20.0,113.0,7.4,4.77,False,,,,,,,,
2016,Matt Judon,DE,Grand Valley State,6-3,275.0,4.73,35.0,30.0,109.0,7.67,4.52,True,5.0,146.0,,,,,,
2016,Ufomba Kamalu,DE,Miami (FL),6-5,295.0,5.01,25.0,26.0,106.0,7.32,4.58,False,,,,,,,,
2016,Bronson Kaufusi,DE,BYU,6-6,285.0,4.87,30.0,25.0,111.0,7.03,4.25,True,3.0,70.0,,,,,,
2016,Shaq Lawson,DE,Clemson,6-3,269.0,4.7,33.0,,120.0,7.16,4.21,True,1.0,19.0,,,,,,
2016,Dean Lowry,DE,Northwestern,6-6,296.0,4.87,32.5,30.0,114.0,7.26,4.38,True,4.0,137.0,,,,,,
