Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2013,Sylvester Williams,DT,North Carolina,6-3,313.0,5.03,26.5,27.0,102.0,7.93,4.8,True,1.0,28.0,,,,,,
2014,Jay Bromley,DT,Syracuse,6-3,306.0,5.06,33.5,26.0,106.0,7.92,4.78,True,3.0,74.0,,,,,,
2014,Ryan Carrethers,DT,Arkansas State,6-1,337.0,5.47,26.0,32.0,88.0,7.89,4.6,True,5.0,165.0,,,,,,
2014,Deandre Coleman,DT,California,6-5,314.0,5.12,,24.0,,,,False,,,,,,,,
2014,Aaron Donald,DT,Pittsburgh,6-1,285.0,4.68,32.0,35.0,116.0,7.11,4.39,True,1.0,13.0,,,,,,
2014,Dominique Easley,DT,Florida,6-2,288.0,4.93,,26.0,,,,True,1.0,29.0,,,,,,
2014,Justin Ellis,DT,Louisiana Tech,6-1,334.0,5.27,28.0,25.0,92.0,7.81,4.75,True,4.0,107.0,,,,,,
2014,Ego Ferguson,DT,LSU,6-3,315.0,4.98,,24.0,,,,True,2.0,51.0,,,,,,
2014,Ra'Shede Hageman,DT,Minnesota,6-6,310.0,4.92,35.5,32.0,114.0,7.87,4.5,True,2.0,37.0,,,,,,
2014,Kerry Hyder,DT,Texas Tech,6-2,290.0,5.1,29.5,20.0,108.0,7.23,4.33,False,,,,,,,,
2014,Louis Nix III,DT,Notre Dame,6-2,331.0,5.32,25.5,,97.0,8.29,4.94,True,3.0,83.0,,,,,,
2014,Timmy Jernigan,DT,Florida State,6-2,299.0,5.06,29.5,27.0,102.0,,4.83,True,2.0,48.0,,,,,,
2014,Anthony Johnson,DT,LSU,6-2,308.0,5.24,24.5,20.0,102.0,7.93,4.83,False,,,,,,,,
2014,DaQuan Jones,DT,Penn State,6-4,322.0,5.35,27.5,25.0,101.0,7.73,4.78,True,4.0,112.0,,,,,,
2014,Zach Kerr,DT,Tennessee,6-1,326.0,5.06,28.5,28.0,99.0,7.93,4.71,False,,,,,,,,
2014,Eathyn Manumaleuna,DT,BYU,6-2,296.0,5.16,28.0,29.0,101.0,7.78,4.61,False,,,,,,,,
2014,Daniel McCullers,DT,Tennessee,6-7,352.0,5.18,20.5,27.0,97.0,,,True,6.0,215.0,,,,,,
2014,Tenny Palepoi,DT,Utah,6-1,298.0,5.1,30.5,31.0,111.0,7.67,4.53,False,,,,,,,,
2014,Kelcy Quarles,DT,South Carolina,6-4,297.0,5.03,23.5,27.0,102.0,,,False,,,,,,,,
2014,Kaleb Ramsey,DT,Boston Col.,6-3,293.0,,,36.0,,,,True,7.0,243.0,,,,,,
2014,Caraun Reid,DT,Princeton,6-2,302.0,4.91,26.5,20.0,106.0,7.59,4.58,True,5.0,158.0,,,,,,
2014,Shamar Stephen,DT,Connecticut,6-5,309.0,5.25,30.5,25.0,103.0,,,True,7.0,220.0,,,,,,
2014,Will Sutton,DT,Arizona State,6-0,303.0,5.36,28.5,24.0,99.0,7.93,4.82,True,3.0,82.0,,,,,,
2014,Robert Thomas,DT,Arkansas,6-1,327.0,5.26,,32.0,,,,False,,,,,,,,
2014,Khyri Thornton,DT,Southern Miss,6-3,304.0,5.03,29.0,28.0,112.0,7.83,4.76,True,3.0,85.0,,,,,,
2014,Stephon Tuitt,DT,Notre Dame,6-5,304.0,4.92,,31.0,,,,True,2.0,46.0,,,,,,
2014,George Uko,DT,USC,6-3,284.0,4.99,29.5,18.0,110.0,,,False,,,,,,,,
2014,Chris Whaley,DT,Texas,6-3,269.0,5.02,,,,,,False,,,,,,,,
2015,Mike Bennett,DT,Ohio State,6-2,293.0,5.04,,,,,,True,6.0,180.0,,,,,,
2015,Angelo Blackson,DT,Auburn,6-4,318.0,5.02,31.0,20.0,101.0,7.5,4.57,True,4.0,100.0,,,,,,
2015,Malcom Brown,DT,Texas,6-2,319.0,5.05,29.5,26.0,98.0,7.84,4.59,True,1.0,32.0,,,,,,
2015,Xavier Cooper,DT,Washington State,6-3,293.0,4.86,29.0,29.0,110.0,7.23,4.37,True,3.0,96.0,,,,,,
2015,Christian Covington,DT,Rice,6-2,289.0,4.9,,,,,,True,6.0,216.0,,,,,,
2015,Carl Davis,DT,Iowa,6-5,320.0,5.07,33.0,,103.0,7.91,4.47,True,3.0,90.0,,,,,,
2015,Tyeler Davison,DT,Fresno State,6-2,316.0,5.18,33.0,32.0,105.0,7.53,4.46,True,5.0,154.0,,,,,,
2015,Eddie Goldman,DT,Florida State,6-4,336.0,5.28,,,,,,True,2.0,39.0,,,,,,
2015,Marcus Hardison,DT,Arizona State,6-3,307.0,4.91,,27.0,,,,True,4.0,135.0,,,,,,
2015,Grady Jarrett,DT,Clemson,6-1,304.0,5.06,31.0,30.0,112.0,7.37,4.56,True,5.0,137.0,,,,,,
2015,Derrick Lott,DT,Tenn-Chattanooga,6-4,314.0,4.99,26.5,30.0,106.0,7.3,4.44,False,,,,,,,,
2015,Joey Mbu,DT,Houston,6-3,313.0,5.54,22.5,,97.0,8.2,5.01,False,,,,,,,,
2015,Ellis McCarthy,DT,UCLA,6-5,338.0,5.21,32.0,24.0,109.0,8.16,5.07,False,,,,,,,,
2015,Rakeem Nunez-Roches,DT,Southern Miss,6-2,307.0,5.02,34.0,26.0,114.0,7.67,4.69,True,6.0,217.0,,,,,,
2015,Leon Orr,DT,Florida,6-5,323.0,5.16,28.0,,100.0,8.26,4.9,False,,,,,,,,
2015,David Parry,DT,Stanford,6-1,308.0,5.38,29.0,34.0,103.0,,,True,5.0,151.0,,,,,,
2015,Jordan Phillips,DT,Oklahoma,6-5,329.0,5.17,30.0,28.0,105.0,7.88,4.68,True,2.0,52.0,,,,,,
2015,Darius Philon,DT,Arkansas,6-1,298.0,5.0,31.0,26.0,107.0,8.0,,True,6.0,192.0,,,,,,
2015,Bobby Richardson,DT,Indiana,6-3,283.0,5.16,32.5,,106.0,7.57,4.41,False,,,,,,,,
2015,Danny Shelton,DT,Washington,6-2,339.0,5.64,30.5,34.0,95.0,7.99,4.65,True,1.0,12.0,,,,,,
2015,Deon Simon,DT,NW State (LA),6-4,321.0,5.12,29.5,35.0,105.0,7.92,4.76,True,7.0,223.0,,,,,,
2015,J.T. Surratt,DT,South Carolina,6-1,304.0,5.19,30.0,29.0,106.0,7.78,4.71,False,,,,,,,,
2015,Louis Trinca-Pasat,DT,Iowa,6-1,290.0,4.96,32.0,,105.0,7.4,4.3,False,,,,,,,,
2015,Leterrius Walton,DT,Central Michigan,6-5,319.0,5.25,27.0,25.0,103.0,7.91,4.78,True,6.0,199.0,,,,,,
2015,Leonard Williams,DT,USC,6-5,302.0,4.97,29.5,,106.0,7.59,4.53,True,1.0,6.0,,,,,,
2015,Gabe Wright,DT,Auburn,6-3,300.0,5.07,26.5,34.0,100.0,7.73,4.56,True,4.0,113.0,,,,,,
2016,Andrew Billings,DT,Baylor,6-1,311.0,5.05,27.5,31.0,113.0,8.05,4.82,True,4.0,122.0,,,,,,
2016,Vernon Butler,DT,Louisiana Tech,6-4,323.0,5.33,29.5,26.0,104.0,7.82,4.76,True,1.0,30.0,,,,,,
2016,Kenny Clark,DT,UCLA,6-3,314.0,5.06,28.5,29.0,102.0,,4.62,True,1.0,27.0,,,,,,
2016,Maliek Collins,DT,Nebraska,6-2,311.0,5.03,29.5,25.0,109.0,7.53,4.52,True,3.0,67.0,,,,,,
2016,Sheldon Day,DT,Notre Dame,6-1,293.0,5.07,30.0,21.0,102.0,7.44,4.5,True,4.0,103.0,,,,,,
2016,Adam Gotsis,DT,Georgia Tech,6-4,287.0,4.88,,,,,,True,2.0,63.0,,,,,,
2016,Javon Hargrave,DT,South Carolina State,6-1,309.0,4.93,34.5,29.0,109.0,7.9,4.7,True,3.0,89.0,,,,,,
2016,Joel Heath,DT,Michigan State,6-5,293.0,5.02,33.0,26.0,113.0,7.44,4.52,False,,,,,,,,
2016,Willie Henry,DT,Michigan,6-3,303.0,5.0,30.5,28.0,110.0,7.57,4.53,True,4.0,132.0,,,,,,
2016,Matt Ioannidis,DT,Temple,6-3,299.0,5.03,28.0,32.0,108.0,7.78,4.71,True,5.0,152.0,,,,,,
2016,Quinton Jefferson,DT,Maryland,6-4,291.0,4.95,29.0,24.0,,7.95,4.37,True,5.0,147.0,,,,,,
2016,Austin Johnson,DT,Penn State,6-4,314.0,5.32,26.0,25.0,96.0,7.84,4.75,True,2.0,43.0,,,,,,
2016,Chris Jones,DT,Mississippi State,6-6,310.0,5.03,24.5,26.0,106.0,7.44,4.62,True,2.0,37.0,,,,,,
2016,Darius Latham,DT,Indiana,6-4,311.0,5.32,29.0,,100.0,7.76,4.63,False,,,,,,,,
2016,Luther Maddy,DT,Virginia Tech,6-0,287.0,4.96,,29.0,,,,False,,,,,,,,
2016,Robert Nkemdiche,DT,Mississippi,6-3,294.0,4.87,35.0,28.0,116.0,,,True,1.0,29.0,,,,,,
