Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,attempts,yards,yards_after_contact,yco_attempt,ypa,touchdowns,total_touches,explosive,first_downs,fumbles,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,elusive_rating,elu_rush_mtf,mtf_per_attempt,explosive_rate,yprr,targets,routes,targets_per_route,fumble_rate
2018,Demario Richard,RB,Arizona State,,218.0,4.7,29.5,12.0,115.0,,,False,,,0.62,,198.0,1027.0,562.0,2.84,5.2,12.0,206.0,23.0,66.0,0.0,27.0,11.0,32.2,331.0,41.3,27.0,0.13636363636363635,0.11616161616161616,0.41,12.0,163.0,0.0736196319018405,0.0
2018,Bo Scarbrough,RB,Alabama,,228.0,4.52,40.0,14.0,129.0,,4.34,True,7.0,236.0,9.25,,124.0,596.0,366.0,2.95,4.8,8.0,141.0,17.0,37.0,0.0,16.0,8.0,28.9,172.0,44.0,16.0,0.12903225806451613,0.13709677419354838,1.06,20.0,103.0,0.1941747572815534,0.0
2018,Roc Thomas,RB,Jacksonville State,,198.0,4.56,35.5,16.0,125.0,,,False,,,4.57,,,,,,,,,,,,,,,,,,,,,,,,
2018,Akrum Wadley,RB,Iowa,,194.0,4.54,32.0,12.0,,,,False,,,3.4,,254.0,1099.0,687.0,2.7,4.3,10.0,281.0,28.0,57.0,3.0,41.0,16.0,34.3,377.0,49.1,41.0,0.16141732283464566,0.11023622047244094,1.62,33.0,218.0,0.15137614678899083,0.010676156583629894
2018,Mark Walton,RB,Miami (FL),,202.0,4.6,31.5,18.0,118.0,,,True,4.0,112.0,4.55,,56.0,427.0,165.0,2.95,7.6,3.0,63.0,13.0,19.0,0.0,7.0,7.0,56.9,243.0,51.4,7.0,0.125,0.23214285714285715,1.3,10.0,70.0,0.14285714285714285,0.0
2018,Chris Warren,RB,Texas,,247.0,4.69,33.0,25.0,121.0,6.98,4.18,False,,,7.45,,70.0,321.0,240.0,3.43,4.6,6.0,89.0,8.0,19.0,2.0,15.0,4.0,30.2,97.0,77.0,15.0,0.21428571428571427,0.11428571428571428,1.38,23.0,165.0,0.1393939393939394,0.02247191011235955
2018,Jordan Wilkins,RB,Mississippi,,216.0,,36.0,16.0,117.0,,4.27,True,5.0,169.0,7.74,,155.0,1010.0,518.0,3.34,6.5,9.0,182.0,29.0,43.0,1.0,32.0,16.0,47.7,482.0,79.0,32.0,0.2064516129032258,0.1870967741935484,1.46,31.0,167.0,0.18562874251497005,0.005494505494505495
2018,Darrel Williams,RB,LSU,,225.0,4.72,32.0,22.0,109.0,,4.21,False,,,5.98,,144.0,820.0,428.0,2.97,5.7,9.0,167.0,22.0,45.0,0.0,21.0,10.0,35.6,292.0,44.5,21.0,0.14583333333333334,0.1527777777777778,2.96,26.0,112.0,0.23214285714285715,0.0
2018,Jeff Wilson,RB,North Texas,,210.0,,,15.0,,,,False,,,5.44,,,,,,,,,,,,,,,,,,,,,,,,
2019,Rodney Anderson,RB,Oklahoma,,224.0,,,25.0,,,,True,6.0,211.0,,,11.0,119.0,69.0,6.27,10.8,3.0,11.0,3.0,4.0,0.0,5.0,2.0,79.8,95.0,285.1,5.0,0.45454545454545453,0.2727272727272727,0.0,1.0,12.0,0.08333333333333333,0.0
2019,Ryquell Armstead,RB,Temple,,220.0,4.45,30.0,22.0,114.0,7.02,4.29,True,5.0,140.0,7.71,,210.0,1101.0,701.0,3.34,5.2,13.0,218.0,28.0,60.0,1.0,31.0,16.0,39.9,439.0,49.0,31.0,0.14761904761904762,0.13333333333333333,0.39,11.0,135.0,0.08148148148148149,0.0045871559633027525
2019,Alex Barnes,RB,Kansas State,,226.0,4.59,38.5,34.0,126.0,6.95,4.1,False,,,9.8,,256.0,1352.0,742.0,2.9,5.3,12.0,276.0,38.0,71.0,4.0,35.0,18.0,35.4,479.0,41.0,35.0,0.13671875,0.1484375,1.05,27.0,184.0,0.14673913043478262,0.014492753623188406
2019,Nick Brossette,RB,LSU,,209.0,4.72,35.5,15.0,118.0,7.38,4.44,False,,,2.91,,240.0,1040.0,695.0,2.9,4.3,14.0,254.0,30.0,66.0,1.0,36.0,9.0,25.1,261.0,43.3,36.0,0.15,0.125,0.68,15.0,114.0,0.13157894736842105,0.003937007874015748
2019,Myles Gaskin,RB,Washington,,205.0,4.58,35.5,24.0,118.0,7.19,4.27,True,7.0,234.0,5.93,,260.0,1270.0,742.0,2.85,4.9,12.0,280.0,31.0,63.0,1.0,46.0,11.0,28.7,364.0,48.1,45.0,0.17307692307692307,0.11923076923076924,0.39,29.0,196.0,0.14795918367346939,0.0035714285714285713
2019,Damien Harris,RB,Alabama,,216.0,4.57,37.0,16.0,121.0,,,True,3.0,87.0,6.36,,149.0,871.0,471.0,3.16,5.8,9.0,171.0,27.0,44.0,0.0,22.0,13.0,39.5,344.0,49.9,22.0,0.1476510067114094,0.18120805369127516,1.22,27.0,167.0,0.16167664670658682,0.0
2019,Darrell Henderson,RB,Memphis,,208.0,4.49,33.5,22.0,121.0,,,True,3.0,70.0,7.68,,214.0,1909.0,1318.0,6.16,8.9,22.0,233.0,55.0,79.0,2.0,57.0,41.0,70.8,1352.0,158.6,57.0,0.26635514018691586,0.2570093457943925,1.68,23.0,176.0,0.13068181818181818,0.008583690987124463
2019,Karan Higdon,RB,Michigan,,206.0,4.49,34.0,21.0,123.0,,,False,,,8.22,,223.0,1172.0,719.0,3.22,5.3,10.0,230.0,27.0,61.0,1.0,30.0,17.0,43.9,514.0,44.9,30.0,0.13452914798206278,0.1210762331838565,0.3,10.0,141.0,0.07092198581560284,0.004347826086956522
2019,Justice Hill,RB,Oklahoma State,,198.0,4.4,40.0,21.0,130.0,,,True,4.0,113.0,9.33,,,,,,,,,,,,,,,,,,,,,,,,
2019,Elijah Holyfield,RB,Georgia,,217.0,4.78,29.5,26.0,118.0,,,False,,,2.48,,159.0,1017.0,653.0,4.11,6.4,7.0,164.0,34.0,50.0,1.0,31.0,19.0,41.9,426.0,77.6,31.0,0.1949685534591195,0.2138364779874214,0.62,6.0,65.0,0.09230769230769231,0.006097560975609756
2019,Travis Homer,RB,Miami (FL),,201.0,4.48,39.5,17.0,130.0,7.07,4.31,True,6.0,204.0,8.34,,164.0,983.0,664.0,4.05,6.0,4.0,183.0,24.0,35.0,4.0,29.0,13.0,49.2,484.0,77.4,29.0,0.17682926829268292,0.14634146341463414,1.08,25.0,172.0,0.14534883720930233,0.02185792349726776
2019,Josh Jacobs,RB,Alabama,,220.0,,,,,,,True,1.0,24.0,5.65,,121.0,645.0,493.0,4.07,5.3,11.0,141.0,23.0,50.0,1.0,33.0,6.0,22.8,147.0,109.8,33.0,0.2727272727272727,0.19008264462809918,1.73,23.0,143.0,0.16083916083916083,0.0070921985815602835
2019,Bryce Love,RB,Stanford,,200.0,,,18.0,,,,True,4.0,112.0,,,165.0,734.0,586.0,3.55,4.4,6.0,185.0,20.0,29.0,1.0,43.0,10.0,41.3,303.0,94.1,43.0,0.2606060606060606,0.12121212121212122,0.8,24.0,124.0,0.1935483870967742,0.005405405405405406
2019,Alexander Mattison,RB,Boise State,,221.0,4.67,35.0,22.0,127.0,7.13,4.29,True,3.0,102.0,6.81,,302.0,1415.0,862.0,2.85,4.7,17.0,329.0,37.0,84.0,0.0,68.0,9.0,19.0,269.0,65.1,68.0,0.2251655629139073,0.12251655629139073,0.61,32.0,285.0,0.11228070175438597,0.0
2019,David Montgomery,RB,Iowa State,,222.0,4.63,28.5,15.0,121.0,,,True,3.0,73.0,5.15,,256.0,1216.0,892.0,3.48,4.8,13.0,278.0,40.0,78.0,1.0,99.0,18.0,31.2,379.0,127.8,99.0,0.38671875,0.15625,0.83,25.0,189.0,0.13227513227513227,0.0035971223021582736
2019,Jalin Moore,RB,Appalachian State,,212.0,,,27.0,,,,False,,,4.48,,64.0,400.0,297.0,4.64,6.3,6.0,70.0,12.0,19.0,0.0,18.0,6.0,49.3,197.0,132.6,18.0,0.28125,0.1875,0.89,9.0,45.0,0.2,0.0
2019,Qadree Ollison,RB,Pittsburgh,,228.0,4.58,29.5,19.0,114.0,7.53,4.31,True,5.0,152.0,4.43,,194.0,1213.0,760.0,3.92,6.3,11.0,205.0,35.0,61.0,0.0,34.0,20.0,51.6,626.0,68.8,34.0,0.17525773195876287,0.18041237113402062,0.5,17.0,133.0,0.12781954887218044,0.0
2019,Tony Pollard,RB,Memphis,,210.0,4.52,35.0,13.0,121.0,,,True,4.0,128.0,7.17,,79.0,559.0,280.0,3.54,7.1,6.0,118.0,16.0,27.0,0.0,19.0,12.0,47.8,267.0,87.1,19.0,0.24050632911392406,0.20253164556962025,1.78,60.0,258.0,0.23255813953488372,0.0
