Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush
2019,Wyatt Ray,EDGE,Boston Col.,6-3,257.0,4.83,34.0,25.0,118.0,7.34,4.31,False,,,7.55,13.6,9.6,406.0
2019,Sutton Smith,EDGE,Northern Illinois,6-0,233.0,4.69,31.5,25.0,118.0,6.75,4.32,True,6.0,175.0,,,,
2019,Montez Sweat,EDGE,Mississippi State,6-6,260.0,4.41,36.0,21.0,125.0,7.0,4.29,True,1.0,26.0,9.9,21.1,16.1,279.0
2019,D'Andre Walker,EDGE,Georgia,6-2,251.0,,,,,,,True,5.0,168.0,,16.3,14.0,252.0
2019,Chase Winovich,EDGE,Michigan,6-3,256.0,4.59,30.5,18.0,116.0,6.94,4.11,True,3.0,77.0,8.63,26.2,18.9,345.0
2019,Oshane Ximines,EDGE,Old Dominion,6-3,253.0,4.78,34.0,24.0,118.0,7.13,4.57,True,3.0,95.0,7.0,,,
2021,Derrick Barnes,DE,Purdue,6-0,238.0,4.57,37.0,29.0,119.0,,4.27,True,4.0,113.0,,10.7,10.5,41.0
2021,Earnest Brown,DE,Northwestern,6-4,270.0,5.01,31.0,25.0,115.0,7.19,4.5,False,,,4.7,,,
2021,Jonathon Cooper,DE,Ohio St.,6-2,253.0,4.69,33.0,28.0,108.0,6.99,4.31,True,7.0,239.0,7.61,26.7,18.4,228.0
2021,Victor Dimukeje,DE,Duke,6-1,262.0,4.87,34.5,28.0,115.0,7.25,4.35,True,6.0,210.0,5.97,15.9,12.0,332.0
2021,Wyatt Hubert,DE,Kansas St.,6-2,258.0,4.93,32.5,,110.0,7.03,4.28,True,7.0,235.0,5.99,26.2,18.7,317.0
2021,Tarron Jackson,DE,Coastal Carolina,6-2,254.0,4.68,29.0,25.0,118.0,7.45,4.51,True,6.0,191.0,5.65,,,
2021,Mustafa Johnson,DE,Colorado,6-0,280.0,,29.0,27.0,103.0,7.18,4.51,False,,,,15.1,11.4,246.0
2021,Patrick Johnson,DE,Tulane,6-6,240.0,4.59,35.0,16.0,119.0,6.97,4.41,True,7.0,234.0,7.25,25.3,16.0,284.0
2021,Zeandae Johnson,DE,California,6-3,270.0,4.89,27.5,22.0,108.0,,,False,,,2.66,,,
2021,Malcolm Koonce,DE,Buffalo,6-2,249.0,,,,,,,True,3.0,79.0,,30.6,21.0,172.0
2021,Isaiahh Loudermilk,DE,Wisconsin,6-6,274.0,5.08,28.5,21.0,112.0,7.52,4.55,True,5.0,156.0,3.6,5.6,3.6,182.0
2021,Romeo McKnight,DE,Charlotte,6-4,252.0,4.98,38.0,,118.0,7.06,4.2,False,,,,18.8,12.0,141.0
2021,Jayson Oweh,DE,Penn St.,6-5,257.0,4.36,39.5,21.0,134.0,6.83,4.21,True,1.0,31.0,9.92,28.4,16.0,171.0
2021,Ronnie Perkins,DE,Oklahoma,6-2,253.0,4.71,32.0,25.0,115.0,,4.69,True,3.0,96.0,5.12,,,
2021,Chris Rumph,DE,Duke,6-2,244.0,,,18.0,,,,True,4.0,118.0,5.1,28.6,18.8,240.0
2021,Cameron Sample,DE,Tulane,6-2,267.0,4.72,37.0,23.0,116.0,7.39,4.48,False,,,6.98,,,
2021,Thomas Schaffer,DE,Stanford,6-6,302.0,,,23.0,,,,False,,,,10.6,5.6,172.0
2021,Shaka Toney,DE,Penn St.,6-2,242.0,4.51,39.0,24.0,128.0,6.95,4.28,True,7.0,246.0,9.48,19.2,14.3,201.0
2021,Devon Wharton,DE,Western Kentucky,6-2,215.0,5.1,30.5,4.0,115.0,8.12,4.7,False,,,,,,
2022,Christopher Allen,EDGE,Alabama,6-4,241.0,,,,,,,False,,,,33.3,33.3,3.0
2022,Amaré Barno,EDGE,Virginia Tech,6-5,246.0,4.36,37.0,,131.0,,4.45,True,6.0,189.0,,,,
2022,Nik Bonitto,EDGE,Oklahoma,6-3,248.0,4.54,35.5,,120.0,7.07,4.23,True,2.0,64.0,9.36,,,
2022,Zachary Carter,DE,Florida,6-4,282.0,4.99,27.5,19.0,110.0,,,True,3.0,95.0,,,,
2022,Micheal Clemons,DE,Texas A&M,6-5,263.0,,,24.0,116.0,,,True,4.0,117.0,8.2,22.7,14.1,328.0
2022,Arnold Ebiketie,EDGE,Penn St.,6-2,250.0,,38.0,21.0,128.0,,,True,2.0,38.0,8.91,34.0,22.0,374.0
2022,Kingsley Enagbare,DE,South Carolina,6-4,258.0,4.87,36.5,,117.0,,,True,5.0,179.0,6.24,,,
2022,Jeffrey Gunter,EDGE,Coastal Carolina,6-4,258.0,4.7,35.5,,122.0,7.21,4.35,True,7.0,252.0,9.75,,,
2022,Logan Hall,DE,Houston,6-6,283.0,4.88,30.0,,,7.25,4.44,True,2.0,33.0,,17.3,13.2,296.0
2022,Aidan Hutchinson,DE,Michigan,6-7,260.0,4.74,36.0,,117.0,6.73,4.15,True,1.0,2.0,9.88,33.3,22.5,425.0
2022,Jermaine Johnson II,DE,Florida St.,6-5,254.0,4.58,32.0,,125.0,,,True,1.0,26.0,9.22,15.7,11.4,415.0
2022,Drake Jackson,EDGE,USC,6-3,254.0,,36.5,,127.0,,,True,2.0,61.0,8.62,26.2,16.9,179.0
2022,Tyree Johnson,EDGE,Texas A&M,6-3,248.0,,,21.0,,,,False,,,3.45,20.0,13.1,266.0
2022,George Karlaftis,EDGE,Purdue,6-4,266.0,,38.0,21.0,121.0,,4.36,True,1.0,30.0,9.24,26.0,21.0,335.0
2022,Boye Mafe,EDGE,Minnesota,6-4,261.0,4.53,38.0,,125.0,,,True,2.0,40.0,9.91,20.6,15.8,257.0
2022,DeAngelo Malone,EDGE,Western Kentucky,6-3,243.0,,,23.0,,,,True,3.0,82.0,9.06,,,
2022,David Ojabo,EDGE,Michigan,6-4,250.0,4.55,35.0,,122.0,,4.45,True,2.0,45.0,9.39,22.1,15.1,297.0
2022,Esezi Otomewo,DE,Minnesota,6-5,282.0,,,,,,,True,5.0,165.0,6.64,17.8,11.4,307.0
2022,Joshua Paschal,DE,Kentucky,6-3,268.0,4.77,37.5,,123.0,,,True,2.0,46.0,,,,
2022,Dominique Robinson,EDGE,Miami (Ohio),6-5,253.0,4.72,41.0,25.0,121.0,,,True,5.0,174.0,,,,
2022,Myjai Sanders,EDGE,Cincinnati,6-5,228.0,4.67,33.0,,120.0,,4.37,True,3.0,100.0,8.74,26.6,17.5,389.0
2022,Tyreke Smith,EDGE,Ohio St.,6-3,254.0,4.86,34.0,,117.0,,,True,5.0,158.0,7.14,31.6,17.7,259.0
2022,Myron Tagovailoa-Amosa,DE,Notre Dame,6-2,270.0,4.81,29.0,,115.0,,,False,,,4.06,9.6,8.3,341.0
2022,Kayvon Thibodeaux,EDGE,Oregon,6-4,254.0,4.58,,27.0,,,,True,1.0,5.0,9.63,32.8,20.2,289.0
2022,Cameron Thomas,DE,San Diego St.,6-4,267.0,,,24.0,,,,True,3.0,87.0,8.68,23.6,17.1,523.0
2022,Isaiah Thomas,EDGE,Oklahoma,6-5,266.0,4.7,31.5,,117.0,,,True,7.0,223.0,9.15,,,
2022,Travon Walker,DE,Georgia,6-5,272.0,4.51,35.5,,123.0,6.89,4.32,True,1.0,1.0,9.99,10.3,7.4,381.0
2022,Tre Williams,EDGE,Arkansas,6-4,253.0,5.08,26.5,,104.0,7.2,4.24,False,,,2.53,37.3,18.4,266.0
