Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,avg_depth_of_target,attempts,dropbacks
2020,Kelly Bryant,QB,Missouri,75.0,229.0,4.69,35.0,,125.0,7.33,4.51,False,,,8.73,,10.0,2.5,1.9,7.5,93.0,18.9,5.7,-0.01,41.9,7.8,295.0,351.0
2020,Joe Burrow,QB,LSU,75.0,221.0,,,,,,,True,1.0,1.0,,,15.0,7.5,1.7,10.8,143.7,19.1,5.9,0.5,59.3,9.6,527.0,610.0
2020,Kevin Davidson,QB,Princeton,76.0,224.0,5.0,28.0,,109.0,7.13,4.37,False,,,4.5,,,,,,,,,,,,,
2020,Jacob Eason,QB,Washington,78.0,231.0,4.89,27.5,,110.0,7.5,4.75,True,4.0,122.0,3.44,,13.0,5.4,2.6,7.7,98.3,19.0,5.0,0.06,45.4,9.3,407.0,436.0
2020,Jake Fromm,QB,Georgia,74.0,219.0,5.01,30.0,,111.0,7.27,4.51,True,5.0,167.0,1.95,,14.0,5.8,1.6,7.4,98.7,17.0,3.6,0.09,44.7,10.3,386.0,416.0
2020,Anthony Gordon,QB,Washington State,74.0,205.0,,,,,,,False,,,,,13.0,3.9,3.5,8.0,108.4,11.6,2.7,0.21,54.3,7.2,692.0,740.0
2020,Justin Herbert,QB,Oregon,78.0,236.0,4.68,35.5,,123.0,7.06,4.46,True,1.0,6.0,9.7,,14.0,4.7,3.0,8.0,109.4,19.4,4.4,0.19,47.7,8.8,433.0,474.0
2020,Jalen Hurts,QB,Oklahoma,73.0,222.0,4.59,35.0,,125.0,,,True,2.0,53.0,9.52,,14.0,5.1,2.9,11.3,128.5,15.1,5.4,0.43,57.2,11.3,341.0,425.0
2020,Brian Lewerke,QB,Michigan State,74.0,213.0,4.95,31.0,,113.0,7.14,4.4,False,,,5.94,,13.0,4.1,3.2,7.0,81.7,14.2,4.0,-0.02,43.1,8.1,437.0,480.0
2020,Jordan Love,QB,Utah State,76.0,224.0,4.74,35.5,,118.0,7.21,4.52,True,1.0,26.0,8.43,,13.0,6.4,4.7,7.2,82.8,15.9,4.4,-0.01,42.9,9.9,474.0,524.0
2020,Jake Luton,QB,Oregon State,78.0,224.0,,,,,,,True,6.0,189.0,2.0,,11.0,5.1,2.0,7.6,107.6,24.4,5.7,0.14,45.8,9.0,359.0,389.0
2020,Cole McDonald,QB,Hawaii,75.0,215.0,4.58,36.0,,121.0,7.13,4.52,True,7.0,224.0,8.99,,14.0,5.5,5.0,8.1,99.1,17.5,3.6,0.15,51.4,12.4,511.0,558.0
2020,Steven Montez,QB,Colorado,76.0,231.0,4.68,33.0,,117.0,7.25,4.43,False,,,8.92,,12.0,3.3,3.2,6.9,86.9,14.3,4.5,0.02,44.7,8.3,406.0,447.0
2020,James Morgan,QB,Florida International,76.0,229.0,4.89,29.0,,112.0,7.51,4.64,True,4.0,125.0,3.85,,12.0,3.8,4.6,7.1,87.4,13.5,3.5,0.0,41.5,9.9,357.0,376.0
2020,Shea Patterson,QB,Michigan,73.0,212.0,4.71,31.0,,116.0,7.14,4.5,False,,,6.66,,13.0,4.8,4.1,8.0,92.6,19.0,5.1,0.06,44.3,10.9,384.0,431.0
2020,Nate Stanley,QB,Iowa,76.0,235.0,4.81,28.5,,108.0,7.26,4.48,True,7.0,244.0,,,13.0,6.6,2.0,7.3,87.6,17.5,5.0,-0.03,41.3,9.5,402.0,438.0
2020,Tua Tagovailoa,QB,Alabama,72.0,217.0,,,,,,,True,1.0,5.0,,,9.0,5.6,2.1,11.3,143.2,16.7,3.6,0.61,55.3,8.7,252.0,275.0
